"metabolite"	"fold.change"	"p.value"
"Arginine"	-0.0204142472402709	0.469725581219652
"Glutamine"	-0.325808657681157	0.0297085802419432
"Asparagine"	0.206854987819343	0.164670470476915
"Alanine"	0.142730795213153	0.28243549013433
"Serine"	0.141356617716199	0.272841610903388
"Threonine"	0.258969515220405	0.143096089332669
"Histidine"	0.890683342076638	0.0191943869869354
"Sucrose"	0.0696908726929035	0.381163543990328
"Valine"	-0.184712158152669	0.283175506365344
"Methionine"	0.0779398802390332	0.413988098369956
"Tyrosine"	0.167733882422028	0.259861461787874
"Leucine.Isoleucine"	-0.0677163994020683	0.436416841745939
"Phenylalanine"	0.630656326296372	0.0422197069660204
"Aspartic"	-0.541228821302692	0.0864655089707644
"Glutamic"	0.131629436044274	0.292613985873023
"Tryptophan"	1.62641914571886	0.00326941326056688
"GAP"	0.219727134881696	0.167358091275004
"NAD"	0.363851737950947	0.175729769270756
"Sucrose6P"	-0.00190443966449831	0.497358037661121
"Fructose6P"	-0.0428774858856473	0.426653597783097
"Ribulose5P"	0.515038565672345	0.104360685784534
"AMP"	0.55116561817058	0.0206535729006647
"UDPG"	-0.0517890829457975	0.373850107975801
"X3PG"	-0.206000934694264	0.332209875280659
"PEP"	0.0130943836716381	0.491058765378891
"UDP"	-0.0596154007352187	0.421788657802265
"GDP"	0.17323776625778	0.34455344510869
"NADH"	0.220576244369713	0.285599351722256
"NADP"	-0.635466362541399	0.0244017351218085
"ADP"	-0.119630864582382	0.32359344601453
"Fructose16P"	0.433087806416023	0.301630695576205
"UTP"	-0.616366120720919	0.0303491641761627
"GTP"	-0.288551786376	0.205368758683414
"ATP"	-0.614549588704659	0.0225450875242382
"NADPH"	-0.809672826324326	0.0154385516794127
"AcCoA"	0.197535394694697	0.276775260384132
"Glucose6P"	0.032250215640118	0.430563533369879
"Glucose1P"	0.192488662529946	0.11577480761349
"Succinic"	0.553851502442618	0.00712227087477558
"Oxaloacetic"	-0.221011304400739	0.272221746584299
"Fumaric"	0.143285134061363	0.122919248148275
"Malic"	0.193518112168162	0.115894742254735
"a.ketoglutaric"	1.17287333099655	0.0495275857309622
"ADPG"	0.935271383181931	0.016909404946351
"GG"	-0.174564889666858	0.170265449798111
"GSSG"	0.0284599139943899	0.42200080035382
"Citrulline"	0.379349078888286	0.12552605058707
"CoA"	-0.159117530376713	0.381601813656863
"Erythrose4P"	0.0822700955353712	0.340580574336164
"Ribose5P"	0.5275089912802	0.10851609629052
"X6phosphogluconic"	-0.44050413872865	0.0174668242201157
"Glucose"	0.333419721175527	0.0709425966421653
"Sedoheptulose7P"	-0.142199493927889	0.350275953484613
"Piruvic"	0.0260967534890412	0.447149634226417
"Isocitric"	-0.0213371167064656	0.474668930069237
"neoxanthin"	-0.0646438754693745	0.348965610017304
"violaxanthin"	-2.24278322065248	0.00139684031717797
"antheraxanthin"	1.78076536544303	0.00658066715910152
"lutein"	0.223506972927351	0.00964963668964949
"zeaxanthin"	5.37512633806909	7.30906650508675e-06
"chlorophyll-a"	0.111079270976776	0.0103644624170016
"chlorophyll-b"	-0.00375053869672307	0.471738784393455
"A-carotene"	-0.175151705996767	0.019978873437253
"B-carotene"	0.00960914300245261	0.444056970813289
"ABA"	-0.373893652144121	0.0712018261291958
"Salicylic"	-0.00168796015300638	0.494839911704221
"ICA"	0.172430685037943	0.142521840030445
"GABA"	-0.115079728167832	0.348090028442934
"IAA"	1.70775546828008	0.00174029497070179
