"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glutathione metabolism",27,0.18881,2,0.013767,1.8612,1,0.74263,0.04242
"Carotenoid biosynthesis",35,0.24476,2,0.022687,1.6442,1,0.74263,0.07533
"Pyrimidine metabolism",38,0.26573,2,0.026522,1.5764,1,0.74263,0.01605
"Purine metabolism",65,0.45455,2,0.071315,1.1468,1,1,0
"Nitrogen metabolism",11,0.076923,1,0.074604,1.1272,1,1,0
"Nicotinate and nicotinamide metabolism",12,0.083916,1,0.081139,1.0908,1,1,0
"Arginine biosynthesis",17,0.11888,1,0.11321,0.94613,1,1,0
"Pentose phosphate pathway",18,0.12587,1,0.1195,0.92262,1,1,0.05838
"Alanine, aspartate and glutamate metabolism",20,0.13986,1,0.13197,0.87951,1,1,0.24138
"Glyoxylate and dicarboxylate metabolism",31,0.21678,1,0.19785,0.70366,1,1,0
"Aminoacyl-tRNA biosynthesis",48,0.33566,1,0.29106,0.53602,1,1,0
