ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006457	protein folding	22/412	195/21869	2.03637050984789e-11	2.7429910767651e-08	2.36647688723376e-08	AT2G04030/AT5G17710/AT3G54826/AT5G61790/AT1G55490/AT5G56000/AT1G56340/AT1G53540/AT3G25230/AT2G28000/AT5G60640/AT5G22060/AT5G09590/AT3G23990/AT5G15450/AT5G42020/AT4G24190/AT5G49910/AT5G49580/AT5G20720/AT3G17880/AT5G06110	22
GO:0006364	rRNA processing	23/412	258/21869	8.26329157572028e-10	5.56532687624761e-07	4.80140731557642e-07	AT2G31890/AT5G60990/AT2G34357/AT3G09720/AT4G25630/AT2G37220/AT1G31660/AT4G09730/AT1G60230/AT5G41190/AT5G54910/AT5G20160/AT1G67120/AT1G23280/AT4G28450/AT3G01540/AT5G35910/AT5G57280/AT2G47990/AT3G18600/AT1G16280/AT4G25730/AT4G01560	23
GO:0016072	rRNA metabolic process	23/412	270/21869	2.00206122952666e-09	8.9892549205747e-07	7.75535297332433e-07	AT2G31890/AT5G60990/AT2G34357/AT3G09720/AT4G25630/AT2G37220/AT1G31660/AT4G09730/AT1G60230/AT5G41190/AT5G54910/AT5G20160/AT1G67120/AT1G23280/AT4G28450/AT3G01540/AT5G35910/AT5G57280/AT2G47990/AT3G18600/AT1G16280/AT4G25730/AT4G01560	23
GO:0009408	response to heat	22/412	257/21869	4.12247004392937e-09	1.04420648668101e-06	9.00874427613669e-07	AT2G04030/AT5G17710/AT3G10800/AT3G22840/AT1G71960/AT5G56000/AT1G53540/AT3G25230/AT5G22060/AT5G21160/AT5G09590/AT2G47180/AT3G23990/AT1G21760/AT5G15450/AT5G42020/AT5G49910/AT1G76080/AT5G17020/AT5G60410/AT3G17880/AT1G08550	22
GO:0022613	ribonucleoprotein complex biogenesis	29/412	434/21869	4.48263707393978e-09	1.04420648668101e-06	9.00874427613669e-07	AT2G03820/AT2G31890/AT5G60990/AT2G34357/AT3G09720/AT4G25630/AT2G37220/AT4G11420/AT1G31660/AT4G09730/AT1G60230/AT5G41190/AT5G54910/AT5G20160/AT1G67120/AT1G23280/AT4G28450/AT3G01540/AT2G44860/AT5G35910/AT5G57280/AT5G20920/AT5G17020/AT2G47990/AT3G18600/AT1G16280/AT4G25730/AT1G36730/AT4G01560	29
GO:0042254	ribosome biogenesis	26/412	356/21869	4.65125383822275e-09	1.04420648668101e-06	9.00874427613669e-07	AT2G03820/AT2G31890/AT5G60990/AT2G34357/AT3G09720/AT4G25630/AT2G37220/AT1G31660/AT4G09730/AT1G60230/AT5G41190/AT5G54910/AT5G20160/AT1G67120/AT1G23280/AT4G28450/AT3G01540/AT2G44860/AT5G35910/AT5G57280/AT5G17020/AT2G47990/AT3G18600/AT1G16280/AT4G25730/AT4G01560	26
GO:0034470	ncRNA processing	27/412	390/21869	7.34063719313713e-09	1.41254832845082e-06	1.21865615958246e-06	AT2G31890/AT5G60990/AT2G34357/AT3G09720/AT4G25630/AT1G20370/AT2G37220/AT1G31660/AT4G09730/AT1G50200/AT1G60230/AT5G41190/AT5G54910/AT5G20160/AT2G27100/AT1G67120/AT1G23280/AT4G28450/AT3G01540/AT5G35910/AT3G56120/AT5G57280/AT2G47990/AT3G18600/AT1G16280/AT4G25730/AT4G01560	27
GO:0034660	ncRNA metabolic process	27/412	470/21869	3.34041022993633e-07	5.6244157246553e-05	4.85238538664436e-05	AT2G31890/AT5G60990/AT2G34357/AT3G09720/AT4G25630/AT1G20370/AT2G37220/AT1G31660/AT4G09730/AT1G50200/AT1G60230/AT5G41190/AT5G54910/AT5G20160/AT2G27100/AT1G67120/AT1G23280/AT4G28450/AT3G01540/AT5G35910/AT3G56120/AT5G57280/AT2G47990/AT3G18600/AT1G16280/AT4G25730/AT4G01560	27
GO:0009642	response to light intensity	14/412	146/21869	7.19175378837079e-07	0.000107636581699283	9.28619436533492e-05	AT4G22260/AT2G05620/AT4G01800/AT3G22840/AT3G47390/AT1G34000/AT4G33950/AT1G10170/AT5G02120/AT1G73990/AT2G30950/AT1G54520/AT2G21970/AT3G61470	14
GO:0006979	response to oxidative stress	25/412	451/21869	1.74648362598274e-06	0.000235251344419874	0.000202959781377362	AT3G26060/AT1G52500/AT2G17420/AT5G55580/AT3G01090/AT2G23140/AT1G14870/AT3G06110/AT4G21860/AT3G17800/AT1G53540/AT3G07700/AT5G27600/AT2G31320/AT3G57520/AT1G73680/AT2G47180/AT2G01980/AT4G24520/AT5G01410/AT1G75270/AT1G76080/AT5G61640/AT1G53670/AT1G20630	25
