ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034357	photosynthetic membrane	33/477	405/25305	2.17750939207303e-12	3.76709124828635e-10	3.23188236086629e-10	AT3G45140/AT3G26060/AT1G44575/AT1G36320/AT2G05620/AT5G17170/AT3G07430/AT1G65260/AT4G01150/AT2G37220/AT5G35170/AT3G22840/AT1G74640/AT1G34000/AT3G07700/AT1G71500/AT5G02120/AT1G73990/AT4G35250/AT2G30950/AT4G37200/AT1G54520/AT2G21970/AT4G13010/AT4G22240/AT4G01050/AT5G20720/AT3G61470/AT3G27925/AT5G15700/AT1G08550/AT5G53560/AT1G08380	33
GO:0042651	thylakoid membrane	32/477	400/25305	7.70056033025419e-12	6.66098468566988e-10	5.71462635034653e-10	AT3G45140/AT3G26060/AT1G44575/AT1G36320/AT2G05620/AT5G17170/AT3G07430/AT1G65260/AT4G01150/AT2G37220/AT5G35170/AT3G22840/AT1G74640/AT1G34000/AT3G07700/AT1G71500/AT5G02120/AT1G73990/AT4G35250/AT2G30950/AT4G37200/AT1G54520/AT2G21970/AT4G13010/AT4G22240/AT4G01050/AT5G20720/AT3G61470/AT3G27925/AT5G15700/AT1G08550/AT5G53560	32
GO:0009535	chloroplast thylakoid membrane	29/477	365/25305	8.88995707794454e-11	5.12654191494802e-09	4.39818929119361e-09	AT3G45140/AT3G26060/AT1G44575/AT1G36320/AT2G05620/AT5G17170/AT1G65260/AT4G01150/AT2G37220/AT5G35170/AT3G22840/AT1G74640/AT1G34000/AT3G07700/AT1G71500/AT5G02120/AT1G73990/AT2G30950/AT4G37200/AT1G54520/AT2G21970/AT4G13010/AT4G22240/AT4G01050/AT5G20720/AT3G61470/AT3G27925/AT1G08550/AT5G53560	29
GO:0055035	plastid thylakoid membrane	29/477	371/25305	1.30990030335902e-10	5.66531881202776e-09	4.86041954667425e-09	AT3G45140/AT3G26060/AT1G44575/AT1G36320/AT2G05620/AT5G17170/AT1G65260/AT4G01150/AT2G37220/AT5G35170/AT3G22840/AT1G74640/AT1G34000/AT3G07700/AT1G71500/AT5G02120/AT1G73990/AT2G30950/AT4G37200/AT1G54520/AT2G21970/AT4G13010/AT4G22240/AT4G01050/AT5G20720/AT3G61470/AT3G27925/AT1G08550/AT5G53560	29
GO:0009534	chloroplast thylakoid	32/477	464/25305	3.50829856202059e-10	1.18868643714555e-08	1.01980400144523e-08	AT3G45140/AT3G26060/AT1G44575/AT1G36320/AT2G05620/AT5G17170/AT1G65260/AT4G01150/AT2G37220/AT5G35170/AT3G22840/AT1G74640/AT1G34000/AT3G07700/AT4G14210/AT1G71500/AT5G02120/AT1G73990/AT4G35250/AT2G30950/AT4G37200/AT1G54520/AT2G21970/AT4G13010/AT4G22240/AT4G01050/AT5G20720/AT3G61470/AT3G27925/AT1G08550/AT5G53560/AT3G44880	32
GO:0031976	plastid thylakoid	32/477	467/25305	4.12261192073602e-10	1.18868643714555e-08	1.01980400144523e-08	AT3G45140/AT3G26060/AT1G44575/AT1G36320/AT2G05620/AT5G17170/AT1G65260/AT4G01150/AT2G37220/AT5G35170/AT3G22840/AT1G74640/AT1G34000/AT3G07700/AT4G14210/AT1G71500/AT5G02120/AT1G73990/AT4G35250/AT2G30950/AT4G37200/AT1G54520/AT2G21970/AT4G13010/AT4G22240/AT4G01050/AT5G20720/AT3G61470/AT3G27925/AT1G08550/AT5G53560/AT3G44880	32
GO:0030684	preribosome	13/477	90/25305	1.41633722682058e-08	3.5003762891423e-07	3.00306088694289e-07	AT1G56110/AT4G25630/AT1G31660/AT1G69070/AT5G41190/AT5G20160/AT5G51980/AT1G67120/AT1G23280/AT4G28450/AT5G27120/AT4G25730/AT4G01560	13
GO:0005730	nucleolus	28/477	489/25305	2.31630391963872e-07	5.00900722621874e-06	4.29735332459289e-06	AT2G34357/AT1G56110/AT1G04980/AT4G25630/AT4G36690/AT1G31660/AT4G16630/AT5G57120/AT5G54910/AT5G20160/AT5G62190/AT2G27100/AT5G14610/AT2G31320/AT1G23280/AT4G28450/AT3G01540/AT2G44860/AT5G35910/AT5G27120/AT4G25340/AT5G57280/AT5G42020/AT3G18610/AT2G47990/AT3G18600/AT4G25730/AT4G01560	28
GO:0005852	eukaryotic translation initiation factor 3 complex	6/477	21/25305	1.85509353144706e-06	3.56590201044824e-05	3.05927705186006e-05	AT2G39990/AT3G11400/AT5G37475/AT4G11420/AT2G46290/AT3G02200	6
GO:0032040	small-subunit processome	7/477	49/25305	3.5062948948662e-05	0.000582526156725657	0.000499763846050001	AT1G56110/AT4G25630/AT1G69070/AT5G20160/AT5G51980/AT4G28450/AT5G27120	7
GO:0031428	box C/D RNP complex	4/477	11/25305	3.70392353987412e-05	0.000582526156725657	0.000499763846050001	AT1G56110/AT4G25630/AT5G20160/AT5G27120	4
GO:0048471	perinuclear region of cytoplasm	4/477	18/25305	0.000309272044079065	0.00445867196880652	0.00382520686097791	AT2G04030/AT3G10800/AT5G56000/AT4G24190	4
GO:0010319	stromule	5/477	38/25305	0.000700258692137548	0.00931882721075353	0.00799485632318982	AT1G23740/AT2G37220/AT1G55490/AT2G28000/AT5G04590	5
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	4/477	24/25305	0.000982032051901843	0.0113261029986013	0.0097169487240814	AT1G56110/AT4G25630/AT5G20160/AT5G27120	4
GO:0030687	preribosome, large subunit precursor	4/477	24/25305	0.000982032051901843	0.0113261029986013	0.0097169487240814	AT1G67120/AT1G23280/AT4G25730/AT4G01560	4
GO:0005759	mitochondrial matrix	8/477	137/25305	0.00453245089332407	0.0490071252840665	0.0420444457867562	AT5G17710/AT2G31890/AT2G17420/AT2G35795/AT5G09590/AT3G23990/AT1G07210/AT5G20720	8
GO:0035770	ribonucleoprotein granule	6/477	83/25305	0.00483247160032631	0.0491775051092031	0.0421906189254495	AT2G31890/AT5G47010/AT3G14010/AT5G21160/AT5G53180/AT5G49120	6
