ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015979	photosynthesis	26/375	222/21845	1.37019197099403e-14	1.9031966477107e-11	1.51730731945865e-11	AT5G38410/AT3G47470/AT1G43670/AT3G12780/AT3G55800/AT3G56090/AT1G67090/AT1G29930/AT1G12900/AT4G04640/AT1G54500/AT5G50950/AT4G03280/AT1G42970/AT5G66190/AT1G06680/AT1G08380/AT3G54050/AT3G54890/AT5G57030/AT1G61520/AT3G61470/AT2G30570/AT4G27800/AT1G60950/AT3G27690	26
GO:0005996	monosaccharide metabolic process	19/375	112/21845	5.98733716485693e-14	4.15820566099314e-11	3.31509405127868e-11	AT3G02870/AT2G28100/AT1G43670/AT3G01850/AT3G12780/AT1G09340/AT3G55800/AT1G12900/AT1G79550/AT3G17940/AT1G42970/AT3G47930/AT3G62830/AT3G52930/AT3G54050/AT1G07110/AT5G42740/AT5G64860/AT5G66150	19
GO:0019318	hexose metabolic process	14/375	71/21845	1.5046581138723e-11	6.96656706722875e-09	5.55403626594267e-09	AT2G28100/AT1G43670/AT3G12780/AT3G55800/AT1G12900/AT1G79550/AT3G17940/AT1G42970/AT3G52930/AT3G54050/AT1G07110/AT5G42740/AT5G64860/AT5G66150	14
GO:0006006	glucose metabolic process	11/375	42/21845	8.76294348876823e-11	3.04293212647477e-08	2.42595172373268e-08	AT1G43670/AT3G12780/AT3G55800/AT1G12900/AT1G79550/AT3G17940/AT1G42970/AT3G52930/AT3G54050/AT5G42740/AT5G64860	11
GO:0006302	double-strand break repair	17/375	135/21845	1.7413042557859e-10	4.83734322257324e-08	3.85653068860373e-08	AT1G07745/AT5G44635/AT2G16440/AT3G27120/AT3G19210/AT1G65470/AT3G15150/AT4G29170/AT5G54260/AT1G71310/AT2G07690/AT1G10930/AT5G40820/AT4G02390/AT1G31360/AT1G44900/AT5G61460	17
GO:0006091	generation of precursor metabolites and energy	28/375	391/21845	2.22040598763153e-10	5.140239861367e-08	4.09801245436557e-08	AT2G44350/AT3G47470/AT3G01850/AT3G12780/AT1G03310/AT1G29930/AT4G04640/AT3G46970/AT1G79550/AT1G54500/AT5G50950/AT4G03280/AT5G66190/AT2G45290/AT1G06680/AT1G08380/AT3G52930/AT2G39930/AT3G54050/AT3G54890/AT5G57030/AT1G61520/AT3G61470/AT5G42740/AT2G30570/AT4G27800/AT1G60950/AT3G27690	28
GO:0000724	double-strand break repair via homologous recombination	14/375	88/21845	3.08796881910617e-10	6.1274124139121e-08	4.88502736496194e-08	AT1G07745/AT5G44635/AT2G16440/AT3G27120/AT3G19210/AT1G65470/AT3G15150/AT5G54260/AT1G71310/AT2G07690/AT1G10930/AT1G31360/AT1G44900/AT5G61460	14
GO:0006259	DNA metabolic process	31/375	483/21845	3.55051242612026e-10	6.16457719985129e-08	4.91465667405067e-08	AT1G07745/AT2G30620/AT5G44635/AT5G48720/AT4G24710/AT2G16440/AT3G27120/AT3G19210/AT2G22140/AT2G27120/AT1G65470/AT1G57820/AT2G29570/AT3G15150/AT5G14620/AT5G13960/AT4G29170/AT5G54260/AT1G71310/AT5G41880/AT4G29910/AT2G36490/AT2G07690/AT1G10930/AT1G09815/AT5G40820/AT4G02390/AT1G31360/AT1G44900/AT5G61460/AT2G42120	31
GO:0006310	DNA recombination	18/375	165/21845	5.51042366974966e-10	7.6178075228297e-08	6.07323217310208e-08	AT1G07745/AT2G30620/AT5G44635/AT4G24710/AT2G16440/AT3G27120/AT3G19210/AT2G22140/AT1G65470/AT3G15150/AT4G29170/AT5G54260/AT1G71310/AT2G07690/AT1G10930/AT1G31360/AT1G44900/AT5G61460	18
GO:0000725	recombinational repair	14/375	92/21845	5.68487371642194e-10	7.6178075228297e-08	6.07323217310208e-08	AT1G07745/AT5G44635/AT2G16440/AT3G27120/AT3G19210/AT1G65470/AT3G15150/AT5G54260/AT1G71310/AT2G07690/AT1G10930/AT1G31360/AT1G44900/AT5G61460	14
GO:0019684	photosynthesis, light reaction	17/375	146/21845	6.03282093240653e-10	7.6178075228297e-08	6.07323217310208e-08	AT3G47470/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT5G66190/AT1G06680/AT1G08380/AT3G54050/AT3G54890/AT5G57030/AT1G61520/AT3G61470/AT2G30570/AT4G27800/AT1G60950/AT3G27690	17
GO:0006281	DNA repair	23/375	313/21845	5.79537738645008e-09	6.70814932481596e-07	5.34801492153112e-07	AT1G07745/AT5G44635/AT5G48720/AT2G16440/AT3G27120/AT3G19210/AT2G22140/AT2G27120/AT1G65470/AT2G29570/AT3G15150/AT4G29170/AT5G54260/AT1G71310/AT2G36490/AT2G07690/AT1G10930/AT1G09815/AT5G40820/AT4G02390/AT1G31360/AT1G44900/AT5G61460	23
GO:0022402	cell cycle process	27/375	465/21845	4.122857848032e-08	4.4051150391665e-06	3.51194045030742e-06	AT1G07745/AT5G47820/AT5G50375/AT3G25980/AT5G06680/AT5G44635/AT5G48720/AT4G24710/AT2G16440/AT3G27120/AT3G19210/AT1G61000/AT3G15150/AT1G70210/AT5G18700/AT1G44110/AT4G29170/AT5G54260/AT1G03780/AT2G07690/AT4G05190/AT3G19050/AT5G48600/AT1G44900/AT1G76310/AT5G61460/AT3G54630	27
GO:0006974	cellular response to DNA damage stimulus	23/375	351/21845	4.89255256545624e-08	4.85411108101337e-06	3.86989872094734e-06	AT1G07745/AT5G44635/AT5G48720/AT2G16440/AT3G27120/AT3G19210/AT2G22140/AT2G27120/AT1G65470/AT2G29570/AT3G15150/AT4G29170/AT5G54260/AT1G71310/AT2G36490/AT2G07690/AT1G10930/AT1G09815/AT5G40820/AT4G02390/AT1G31360/AT1G44900/AT5G61460	23
GO:0006094	gluconeogenesis	7/375	23/21845	8.03690661114001e-08	6.97703955179592e-06	5.56238536507848e-06	AT1G43670/AT3G12780/AT3G55800/AT1G79550/AT3G52930/AT3G54050/AT5G42740	7
GO:0009768	photosynthesis, light harvesting in photosystem I	7/375	23/21845	8.03690661114001e-08	6.97703955179592e-06	5.56238536507848e-06	AT3G47470/AT1G29930/AT1G08380/AT3G54890/AT1G61520/AT3G61470/AT3G27690	7
