ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0055035	plastid thylakoid membrane	37/457	371/25305	4.0145831171002e-17	9.9561661304085e-15	7.7333548466246e-15	AT3G47470/AT2G20260/AT1G51110/AT4G20360/AT1G67090/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT1G42970/AT3G22840/AT5G66190/AT5G38660/AT1G03130/AT1G31330/AT2G34460/AT1G06680/AT1G18170/AT5G54290/AT1G52230/AT3G10060/AT3G26060/AT3G46780/AT3G12345/AT3G51510/AT5G42765/AT5G20140/AT4G28025/AT3G54890/AT1G30380/AT1G61520/AT3G61470/AT2G30570/AT2G47450/AT1G52220/AT4G34190/AT3G27690	37
GO:0034357	photosynthetic membrane	38/457	405/25305	1.14109077581093e-16	1.27876296566254e-14	9.93266649899175e-15	AT3G47470/AT2G20260/AT1G51110/AT4G20360/AT1G67090/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT1G42970/AT3G22840/AT5G66190/AT5G38660/AT1G03130/AT1G31330/AT2G34460/AT1G06680/AT1G18170/AT5G54290/AT1G52230/AT3G10060/AT1G08380/AT3G26060/AT3G46780/AT3G12345/AT3G51510/AT5G42765/AT5G20140/AT4G28025/AT3G54890/AT1G30380/AT1G61520/AT3G61470/AT2G30570/AT2G47450/AT1G52220/AT4G34190/AT3G27690	38
GO:0009535	chloroplast thylakoid membrane	36/457	365/25305	1.54689068426921e-16	1.27876296566254e-14	9.93266649899175e-15	AT3G47470/AT2G20260/AT1G51110/AT4G20360/AT1G67090/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT1G42970/AT3G22840/AT5G66190/AT5G38660/AT1G03130/AT1G31330/AT2G34460/AT1G06680/AT1G18170/AT1G52230/AT3G10060/AT3G26060/AT3G46780/AT3G12345/AT3G51510/AT5G42765/AT5G20140/AT4G28025/AT3G54890/AT1G30380/AT1G61520/AT3G61470/AT2G30570/AT2G47450/AT1G52220/AT4G34190/AT3G27690	36
GO:0042651	thylakoid membrane	37/457	400/25305	4.63521968110268e-16	2.87383620228366e-14	2.23222421484682e-14	AT3G47470/AT2G20260/AT1G51110/AT4G20360/AT1G67090/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT1G42970/AT3G22840/AT5G66190/AT5G38660/AT1G03130/AT1G31330/AT2G34460/AT1G06680/AT1G18170/AT5G54290/AT1G52230/AT3G10060/AT3G26060/AT3G46780/AT3G12345/AT3G51510/AT5G42765/AT5G20140/AT4G28025/AT3G54890/AT1G30380/AT1G61520/AT3G61470/AT2G30570/AT2G47450/AT1G52220/AT4G34190/AT3G27690	37
GO:0009534	chloroplast thylakoid	38/457	464/25305	9.58965864808639e-15	4.75647068945085e-13	3.69454217389434e-13	AT3G47470/AT2G20260/AT1G51110/AT4G20360/AT1G67090/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT1G42970/AT3G22840/AT5G66190/AT5G38660/AT1G03130/AT1G31330/AT2G34460/AT1G06680/AT1G18170/AT5G54290/AT4G19830/AT1G52230/AT3G10060/AT3G26060/AT3G46780/AT3G12345/AT3G51510/AT5G42765/AT5G20140/AT4G28025/AT3G54890/AT1G30380/AT1G61520/AT3G61470/AT2G30570/AT2G47450/AT1G52220/AT4G34190/AT3G27690	38
GO:0031976	plastid thylakoid	38/457	467/25305	1.17807388100334e-14	4.86937204148047e-13	3.78223719690546e-13	AT3G47470/AT2G20260/AT1G51110/AT4G20360/AT1G67090/AT1G29930/AT4G04640/AT1G54500/AT4G03280/AT1G42970/AT3G22840/AT5G66190/AT5G38660/AT1G03130/AT1G31330/AT2G34460/AT1G06680/AT1G18170/AT5G54290/AT4G19830/AT1G52230/AT3G10060/AT3G26060/AT3G46780/AT3G12345/AT3G51510/AT5G42765/AT5G20140/AT4G28025/AT3G54890/AT1G30380/AT1G61520/AT3G61470/AT2G30570/AT2G47450/AT1G52220/AT4G34190/AT3G27690	38
GO:0005694	chromosome	29/457	356/25305	1.75158715300102e-11	6.20562305634648e-10	4.82015712780732e-10	AT5G62410/AT1G07745/AT2G30620/AT3G25980/AT5G44635/AT4G24710/AT2G16440/AT4G35570/AT1G26665/AT1G61000/AT4G23800/AT2G27120/AT3G15150/AT5G54260/AT5G41880/AT3G06400/AT4G29910/AT2G07690/AT1G10930/AT1G09815/AT3G51880/AT1G31360/AT5G48600/AT1G44900/AT5G61460/AT2G42120/AT5G28780/AT3G54630/AT3G60660	29
GO:0009522	photosystem I	7/457	22/25305	8.07385771630606e-08	2.50289589205488e-06	1.94409995011054e-06	AT2G20260/AT1G03130/AT1G31330/AT1G52230/AT1G08380/AT3G61470/AT3G27690	7
GO:0000793	condensed chromosome	10/457	72/25305	6.59923938270781e-07	1.81845707434615e-05	1.41246878015851e-05	AT5G62410/AT3G25980/AT4G24710/AT1G61000/AT4G23800/AT3G15150/AT5G54260/AT5G61460/AT3G54630/AT3G60660	10
GO:0010287	plastoglobule	9/457	68/25305	3.62395076022926e-06	8.98739788536857e-05	6.98087356970479e-05	AT1G09340/AT1G29930/AT4G19170/AT1G31330/AT2G34460/AT3G26060/AT3G54890/AT1G61520/AT3G27690	9
