LL_1	LL_2	HL_1	HL_2
kfl00001_0010	3.91012783189708	3.77778767729469	3.54953662531774	3.7995905116723
kfl00001_0030	6.43120297248694	6.33971536882244	6.61396136129212	6.7512541212154
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	4.87732155326626	4.36642176665561	4.54310703825533	4.03371618396391
kfl00001_0060	7.59291435176603	7.77510836939203	7.31465213037032	7.37452645763675
kfl00001_0070	3.84679975094407	3.91247344008589	4.43947762026285	4.42578235929737
kfl00001_0080	4.32664200401741	4.55827666938946	4.01003684403539	3.962653861496
kfl00001_0090	2.10061896687161	2.90975330716589	2.62897189223839	3.16218885193919
kfl00001_0100	0	0	0	0
kfl00001_0110	5.34061197226348	5.1364988060593	6.06776252284505	5.99225395342032
kfl00001_0120	7.28356110385834	7.42211745066593	7.26302708489484	7.49613642180339
kfl00001_0130	3.95245255601324	3.76296727918804	3.28077424100598	3.59772005675474
kfl00001_0140	5.02752679596285	4.6239892121459	4.58133649797182	4.73256707875106
kfl00001_0150	0	0	0	0
kfl00001_0160	2.56914439153876	2.67090175344292	0.780413170626533	1.20616706576765
kfl00001_0170	2.53579888601262	3.37146479428448	1.50837652032975	1.2904606985849
kfl00001_0180	3.494374263756	3.33117724088054	3.68963906672787	4.12331605132567
kfl00001_0190	4.10283922755352	4.25632556075047	3.35542293484588	3.43386971019565
kfl00001_0200	4.45785049619953	4.43923228093146	4.50859825645732	4.37305794458949
kfl00001_0210	3.32787293352957	3.36039013473945	1.63799965758889	2.33758029563503
kfl00001_0220	5.36713202157373	5.17625895429256	5.32543823138601	5.11547703619737
kfl00001_0230	2.60305351383836	2.81965509746852	2.97958110999803	3.17636607252004
kfl00001_0240	5.84786972456398	5.96320852806914	5.7514564992755	5.68760603843582
kfl00001_0250	3.77292457624113	4.41583557967923	2.95873839175931	3.01392765931853
kfl00001_0260	3.30869720816317	3.05016735522644	2.47244269573276	2.39928744236997
kfl00001_0270	2.00917416689229	1.97306346724486	2.16227738142847	1.96895889724129
kfl00001_0280	3.5230536976181	3.95990041905829	3.28681715330799	3.04444135203673
kfl00001_0290	4.03815894681493	4.04180066234325	3.98350678430864	3.82311475983119
kfl00001_0300	3.00594020351576	3.14054541763268	3.53898043471384	3.1150552038816
kfl00001_0310	0	0	0	0
kfl00001_0320	11.6539339622208	11.6406522507322	11.2176737181624	11.2816230222375
kfl00001_0330	3.13404040055085	3.37668251073536	2.00020533022594	2.00504881851097
kfl00001_0340	5.89747655826945	5.849583875303	5.69171631036992	5.95156160288848
kfl00001_0350	3.22070952216456	3.14522628128634	3.51103208321259	3.49958073879571
kfl00001_0360	3.75545877947133	3.73527913508368	4.07767607171635	4.56307630502179
kfl00001_0370	3.95887714993302	4.26294140032138	3.30677310359257	3.23825514649136
kfl00001_0380	3.91971213294683	3.69973512270615	4.75168984570585	5.06591609521212
kfl00001_0390	3.52757228182048	3.93720397441121	3.07041900470933	3.80728658333314
kfl00001_0400	2.98716935762372	2.60517893316155	2.81991193987469	3.24776243735438
kfl00001_0410	2.75014126476434	2.00761350433136	0.870116407586524	1.43072808000413
kfl00001_0420	6.01321314334736	5.9312520099972	5.7342469495999	5.80173686588667
kfl00001_0430	2.19016378578415	1.6888662347741	2.51022557602916	2.14442431118964
kfl00001_0440	4.51925950842108	4.59181554143015	4.48344268626788	4.21531704201753
kfl00001_0450	4.92053113568904	5.04649905967898	4.36304714080793	4.45208690361284
kfl00001_0460	4.64049414398936	4.80430901397051	4.86946531089515	4.85345694564256
kfl00001_0470	4.88417327694252	5.32589813226607	4.2216760963267	4.13711448505266
kfl00001_0480	3.22715210399925	3.41703736615545	2.19690684475989	2.37772898109311
kfl00001_0490	3.83369295220746	3.86695341653205	2.68008350153746	2.38290740687469
kfl00001_0500	6.61109885884325	6.55279748518426	6.44339680635142	6.46681346378566
kfl00001_0510	2.47359895165272	3.17099034155005	4.04786272276411	3.70925161252081
kfl00001_0520	3.22035826065568	3.36460979226123	2.92230706230343	3.33308091218018
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	3.41923768910884	3.96548768794833	2.54711523249125	3.05498856315803
kfl00001_0560	3.89439062249947	4.38951942856295	3.39022476106023	3.91255741191752
kfl00001_0570	0.839955753933571	0.91690830627919	0.235576778605696	0.426323593968565
kfl00001_0580	3.80333969966603	3.69778124429747	4.15729426469665	3.98275021831353
kfl00001_0590	4.77359496528606	4.60959550168644	3.69471699735362	3.68940287913578
kfl00001_0600	3.21383100914428	3.40980062854043	2.00659853693773	2.2545156118001
kfl00001_0610	3.87360575004138	4.0149569139717	2.60526688779139	3.28934455496425
kfl00001_0620	10.5480531640382	10.6273333345354	10.5949503447561	10.497524454906
kfl00001_0630	0	0	0	0
kfl00001_0640	1.65981027984501	1.72714061607056	2.28028410919232	2.36231068339544
kfl00001_0650	6.14531089797329	6.15002297867657	5.93168610223724	5.85253796097096
kfl00001_0660	3.83066729065074	3.48542436105423	3.72967757927817	3.73410581910054
kfl00001_0670	3.49519102447876	3.32142077030103	4.15324006385109	4.20995583370087
kfl00001_0680	0	0	0	0
kfl00001_0690	2.25140724528397	2.30792546289277	0	0
kfl00001_0700	1.59824108232768	2.00442969825773	0.950862137892505	1.02104204255419
kfl00001_0710	3.70402860126119	3.82100559694304	3.65419880676817	3.94373087062727
kfl00001_0720	1.86296258418348	1.78596364224202	1.28740474180153	0.919982287341329
kfl00001_0730	5.52992383154262	5.6411644412241	5.55794433910842	5.79980915257015
kfl00001_0740	6.485810679927	6.48105108051336	5.99350399875993	5.60485486584357
kfl00001_0750	4.04414338417925	4.24384283044706	3.94106565861175	3.91033249006303
kfl00001_0760	2.39606380748562	2.07220114878374	0.829225331703342	1.04948621320756
kfl00001_0770	6.79950776650432	6.91071563546963	6.52978549033574	6.36798927139977
kfl00001_0780	3.69964081759988	3.47955024806402	2.8364827411453	3.4195096326339
kfl00001_0785	1.98929150429111	1.60111035680498	2.24959142158615	2.46453146779793
