"geneID"	"LL_1"	"LL_2"	"HL_1"	"HL_2"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_type"	"gene_name"	"annotation"
"1"	"kfl00093_0070"	9.154836	5.96571	832.17511	898.558594	6.82810655902601	6.42131091400694	30.1697431705281	0.000427870228587556	0.016513116634551	0.758103290880763	"activated"	"kfl00093_0070"	"photosystem II 22 kDa protein, PsbS"
"2"	"kfl00458_0030"	6.87128	5.272227	286.325348	299.847046	5.52738983228409	5.51343830570471	43.9564560043275	0.000177015060358787	0.0129836855615037	1.94111595935206	"activated"	"kfl00458_0030"	"hypothetical protein"
"3"	"kfl00104_0170"	3.221213	0	86.082634	78.64608	5.45783756717362	3.72778031412118	5.90218864301979	0.0186455637131466	0.0837528254653301	-4.53292698494211	"ns"	"kfl00104_0170"	"hypothetical protein"
"4"	"kfl00361_0130"	1.303325	1.051222	84.96666	71.81916	5.30243062314548	3.7314944945328	38.4544439314426	0.000242240023669937	0.0137339491020764	1.5267950985375	"activated"	"kfl00361_0130"	"hypothetical protein"
"5"	"kfl00385_0010"	3.443469	0	70.73494	68.182587	5.179841197111	3.62515812234348	5.41750583252293	0.0225596944046009	0.0937637298691225	-4.79976054717166	"ns"	"kfl00385_0010"	"hypothetical protein"
"6"	"kfl00038_0225"	0	0	31.57173	33.477306	5.14196990812494	2.57098495406247	210.703815542474	4.46763237905988e-06	0.0041709955438452	5.45260250523883	"activated"	"kfl00038_0225"	"hypothetical protein"
"7"	"kfl00009_0400"	0	0	24.150084	27.566277	4.8191823738039	2.40959118690195	67.3751452600973	6.49715336905149e-05	0.00942218926093543	3.19281481362836	"activated"	"kfl00009_0400"	"hypothetical protein"
"8"	"kfl00052_0260"	23.628424	29.300241	568.440735	558.132141	4.51637930071772	6.9595778304511	26.8051796973053	0.000564463631037835	0.0184727941732916	0.37775859273181	"activated"	"kfl00052_0260"	"hypothetical protein"
"9"	"kfl00009_0210"	0	0	20.829386	20.175211	4.50042092182902	2.25021046091451	133.770704658142	1.29837029741593e-05	0.00588373968939417	4.79396728830026	"activated"	"kfl00009_0210"	"hypothetical protein"
"10"	"kfl00199_0150"	2.237755	0	30.080225	40.885643	4.43725917591601	3.03002395240683	5.75218583593804	0.0197476703064363	0.0865748069375964	-4.61341072020089	"ns"	"kfl00199_0150"	"hypothetical protein"
"11"	"kfl00886_0030"	142.503464	100.244057	2172.866943	2357.712646	4.38192852477542	9.031595498482	21.2233569079491	0.000975004312273146	0.0215761414645659	-0.380421653284298	"activated"	"kfl00886_0030"	"hypothetical protein"
"12"	"kfl00700_0020"	38.414173	42.823318	769.94342	787.819946	4.3788729389912	7.49516060083634	43.9346848371264	0.000177220924957483	0.0129836855615037	1.93959629880233	"activated"	"kfl00700_0020"	"hypothetical protein"
"13"	"kfl00576_0010"	7.478802	3.496952	122.865074	108.740509	4.3781623182594	4.75324342280338	10.8068192709597	0.00469417126976755	0.0417931108415453	-2.58994319749208	"activated"	"kfl00576_0010"	"hypothetical protein"
"14"	"kfl00094_0260"	133.214844	102.996307	1972.025391	2035.392578	4.23490744424359	8.92918284253769	30.1878070060647	0.000427270418743569	0.016513116634551	0.760020612518478	"activated"	"kfl00094_0260"	"heat shock protein"
"15"	"kfl00138_0160"	0	0	19.582462	14.01722	4.20939415343031	2.10469707671516	18.8205767755347	0.001291195377993	0.0244068893578822	-0.772993410271429	"activated"	"kfl00138_0160"	"hypothetical protein"
"16"	"kfl00166_0120"	0	0	17.261921	14.56851	4.14890634219537	2.07445317109768	34.659147503591	0.000309085761119961	0.0151394348406755	1.19987698995648	"activated"	"kfl00166_0120"	"hypothetical protein"
"17"	"kfl00385_0020"	3.621134	5.893463	82.093292	90.141098	4.08191324300856	4.47918888604095	13.9794721985256	0.00258322994037794	0.0322295206714091	-1.74747212390247	"activated"	"kfl00385_0020"	"hypothetical protein"
"18"	"kfl00188_0240"	0	0	13.728609	16.487951	4.07728686939928	2.03864343469964	40.133191164642	0.000219138460192836	0.0136504250760617	1.6600363109424	"activated"	"kfl00188_0240"	"hypothetical protein"
"19"	"kfl00033_0240"	0	0.551965	18.671762	18.421604	4.05278723215524	2.33624036688528	14.1321772167339	0.00251873954764309	0.0320488676077557	-1.71185454929851	"activated"	"kfl00033_0240"	"hypothetical protein"
"20"	"kfl00001_0810"	23.886024	23.991646	357.804779	372.602234	4.02360316269244	6.58187598185223	118.107628056402	1.739357258792e-05	0.00628860179491873	4.55405073924424	"activated"	"kfl00001_0810"	"hypothetical protein"
"21"	"kfl00481_0050"	24.197086	19.142899	321.219086	327.809509	4.00032812982578	6.42378400447662	33.2826182547834	0.000339895810634379	0.0156204042911149	1.07138978235646	"activated"	"kfl00481_0050"	"hypothetical protein"
"22"	"kfl00587_g5"	0	0	14.144547	14.247815	3.99832231935339	1.9991611596767	464.365559818894	6.98516684641056e-07	0.00120773534774439	5.95331027285159	"activated"	"kfl00587_g5"	"hypothetical protein"
"23"	"kfl00109_0340"	5.682456	7.815064	114.651993	105.928871	3.99667263763685	4.87574312213721	18.2395998678897	0.00138932289264281	0.0251007239433587	-0.875613739896055	"activated"	"kfl00109_0340"	"hypothetical protein"
"24"	"kfl00125_0070"	0	0.237126	13.548024	17.877401	3.97400433246811	2.13662631838553	18.7460586039062	0.00130321906326307	0.0244068893578822	-0.78597410990508	"activated"	"kfl00125_0070"	"hypothetical protein"
"25"	"kfl00021_0170"	14.645337	12.301418	200.789627	205.110489	3.96693374527822	5.76583049730351	49.6245107772872	0.000133173581271308	0.0122984637690721	2.30919624697707	"activated"	"kfl00021_0170"	"hypothetical protein"
"26"	"kfl00347_0060"	0	0	13.566127	13.043095	3.91056989325664	1.95528494662832	104.397936518087	2.32384892330784e-05	0.00648053998128913	4.29194536282303	"activated"	"kfl00347_0060"	"hypothetical protein"
"27"	"kfl00030_0050"	16.405104	19.680634	245.35321	268.008942	3.90873363307186	6.13106181292153	26.1348076324626	0.000598962631831048	0.0188635043795243	0.29592323119175	"activated"	"kfl00030_0050"	"hypothetical protein"
"28"	"kfl00013_0050"	0	0	11.259176	14.977947	3.87898445950722	1.93949222975361	23.6436026951497	0.000757298100436822	0.0203225632583042	-0.02881026024561	"activated"	"kfl00013_0050"	"hypothetical protein"
"29"	"kfl00221_0210"	14.626344	13.205709	0	0	-3.828838046107	1.9144190230535	-108.000754881633	2.14590807345405e-05	0.00628860179491873	4.36635903434015	"repressed"	"kfl00221_0210"	"hypothetical protein"
"30"	"kfl00896_0040"	7.635076	16.853989	153.858063	163.868683	3.82878995559023	5.48279469314147	7.51525273889643	0.0108098813911773	0.0624258013538597	-3.76663479062488	"ns"	"kfl00896_0040"	"hypothetical protein"
"31"	"kfl00216_0060"	7.373309	4.296491	86.961311	80.951561	3.81197639584826	4.57855294564431	13.4217437047714	0.00283981548523433	0.033421862214645	-1.88092663930489	"activated"	"kfl00216_0060"	"3-dehydroquinate synthase, putative"
"32"	"kfl00476_g1"	16.106173	10.44427	0	0	-3.73823288026081	1.8691164401304	-15.6438422951414	0.00198784334828327	0.0296136275348222	-1.37864958947985	"repressed"	"kfl00476_g1"	"hypothetical protein"
"33"	"kfl00123_g15"	13.765704	12.158918	0	0	-3.73307728203552	1.86653864101776	-76.5447760202575	4.815421031229e-05	0.00838048464522918	3.53688127424858	"repressed"	"kfl00123_g15"	"hypothetical protein"
"34"	"kfl00048_0250"	27.556223	32.222408	0	3.766363	-3.72289504821963	3.01272936661456	-3.47826530263631	0.0582695652143532	0.172430417192305	-6.11394046507077	"ns"	"kfl00048_0250"	"hypothetical protein"
"35"	"kfl00022_0420"	16.001932	10.259693	0	0	-3.72214391106179	1.8610719555309	-15.1488616492262	0.00214252011205705	0.030166687251064	-1.48407083161467	"repressed"	"kfl00022_0420"	"hypothetical protein"
