geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00001_0010	43.204636	44.574551	43.826736	42.444309	42.612144	47.033123
kfl00001_0030	84.359879	88.347412	87.782143	91.014053	93.317406	96.721313
kfl00001_0040	0	0	0	0	0	0
kfl00001_0050	0	0	0	0	0	0
kfl00001_0055	44.812401	44.624073	51.847851	38.085701	35.321156	40.104683
kfl00001_0060	148.812393	162.240326	160.041077	164.482727	138.547119	156.744217
kfl00001_0070	15.317598	19.441498	16.27449	18.207743	18.204697	21.69305
kfl00001_0080	21.138521	16.636326	14.284485	14.012606	13.575519	15.008574
kfl00001_0090	5.645684	6.062408	6.69635	5.658695	6.041844	5.661485
kfl00001_0100	0	0	0	0.045252	0.044782	0
kfl00001_0110	1.253083	1.846792	2.538864	1.374642	2.481758	2.150948
kfl00001_0120	162.044464	171.899445	165.704193	282.819611	288.179901	305.534332
kfl00001_0130	0.534677	0.23127	0.158067	0.157329	0.031108	0.095373
kfl00001_0140	23.03924	23.443956	23.904957	21.583935	20.310843	22.398865
kfl00001_0150	0.316638	0.39898	0.181112	0	0	0
kfl00001_0160	10.549423	11.009488	10.735628	3.33422	4.572793	4.455458
kfl00001_0170	11.515452	11.506391	14.477303	11.064882	12.296638	11.834292
kfl00001_0180	59.682369	64.552719	65.24511	49.347454	54.262062	53.485405
kfl00001_0190	8.254711	8.13474	8.781404	8.703814	9.194253	10.125641
kfl00001_0200	173.341644	208.328979	195.680618	173.709152	161.814163	167.208633
kfl00001_0210	13.635904	11.673501	11.491652	3.636344	3.533002	4.091336
kfl00001_0220	27.46847	22.857035	28.804943	18.705177	14.920095	15.380773
kfl00001_0230	6.022963	6.370749	5.817018	5.912278	6.717021	5.992373
kfl00001_0240	77.120766	74.199249	70.517723	64.034241	63.940342	71.9767
kfl00001_0250	22.909294	20.688757	22.65041	22.868563	18.235935	21.105587
kfl00001_0260	12.63817	13.236456	13.700595	13.576732	12.017076	14.498162
kfl00001_0270	7.224771	7.027717	5.97734	6.376998	7.564685	7.07402
kfl00001_0280	9.726377	10.263421	10.50059	8.370543	7.883462	7.058535
kfl00001_0290	20.821901	22.165764	25.61092	21.233046	21.56193	19.399412
kfl00001_0300	15.847736	13.905058	14.41812	21.171518	21.172527	23.104208
kfl00001_0310	0	0	0	0	0	0
kfl00001_0320	95.409111	49.264969	78.347	78.433685	108.873169	109.469902
kfl00001_0330	10.927282	10.303453	11.267159	9.954	10.200179	10.379477
kfl00001_0340	41.009949	36.501297	36.089394	37.272522	35.070892	34.266895
kfl00001_0350	16.715885	16.233042	16.339054	12.597237	13.173108	14.247684
kfl00001_0360	19.655148	17.982922	20.147289	18.89266	18.217077	19.04764
kfl00001_0370	21.715321	17.566271	19.0488	19.965755	17.437019	19.73407
kfl00001_0380	16.902205	17.75507	18.118048	16.951603	16.90836	16.901783
kfl00001_0390	11.166059	10.415608	11.375388	12.299806	10.466286	10.928846
kfl00001_0400	7.508198	7.039604	7.932379	10.1734	7.443225	8.6565
kfl00001_0410	6.074025	5.711837	7.32068	5.945205	5.166697	5.329859
kfl00001_0420	48.855366	45.341743	52.963615	46.463192	45.430592	42.206738
kfl00001_0430	5.550896	5.950187	5.068301	6.468652	6.710613	7.051199
kfl00001_0440	14.592684	19.179966	17.246714	17.774515	16.917297	15.357122
kfl00001_0450	14.335103	13.848358	13.818014	14.976791	12.85485	13.66292
