geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00001_0010	43.204636	44.574551	43.826744	42.444313	42.611748	47.033112
kfl00001_0030	84.359879	88.347412	87.782158	91.014061	93.316536	96.721291
kfl00001_0040	0	0	0	0	0	0
kfl00001_0050	0	0	0	0	0	0
kfl00001_0055	44.812401	44.624069	51.847858	38.085701	35.320831	40.104675
kfl00001_0060	148.812393	162.240326	160.041107	164.482727	138.545837	156.744186
kfl00001_0070	15.317599	19.441496	16.274492	18.207743	18.204527	21.693047
kfl00001_0080	21.138521	16.636324	14.284487	14.012606	13.575393	15.008571
kfl00001_0090	5.645684	6.062408	6.696351	5.658695	6.041788	5.661484
kfl00001_0100	0	0	0	0.045252	0.044782	0
kfl00001_0110	1.253083	1.846792	2.538865	1.374642	2.481735	2.150947
kfl00001_0120	162.044479	171.899429	165.704224	282.819611	288.177246	305.534271
kfl00001_0130	0.534677	0.23127	0.158067	0.157329	0.031108	0.095373
kfl00001_0140	23.039242	23.443954	23.904961	21.583935	20.310654	22.398861
kfl00001_0150	0.316638	0.39898	0.181112	0	0	0
kfl00001_0160	10.549424	11.009488	10.735629	3.33422	4.572751	4.455457
kfl00001_0170	11.515453	11.506391	14.477304	11.064883	12.296523	11.83429
kfl00001_0180	59.682373	64.552711	65.245117	49.347454	54.261559	53.485394
kfl00001_0190	8.254711	8.13474	8.781405	8.703814	9.194168	10.125639
kfl00001_0200	173.341644	208.328979	195.680649	173.709152	161.812653	167.208588
kfl00001_0210	13.635904	11.6735	11.491653	3.636344	3.532969	4.091335
kfl00001_0220	27.468472	22.857033	28.804949	18.705179	14.919957	15.380769
kfl00001_0230	6.022964	6.370749	5.817019	5.912279	6.716959	5.992371
kfl00001_0240	77.120773	74.199242	70.517738	64.034248	63.939751	71.976685
kfl00001_0250	22.909296	20.688755	22.650414	22.868563	18.235767	21.105581
kfl00001_0260	12.63817	13.236455	13.700597	13.576732	12.016964	14.498159
kfl00001_0270	7.224771	7.027717	5.977341	6.376998	7.564615	7.074019
kfl00001_0280	9.726377	10.26342	10.500591	8.370543	7.883389	7.058533
kfl00001_0290	20.821901	22.165762	25.610922	21.233046	21.561729	19.399408
kfl00001_0300	15.847737	13.905057	14.418122	21.171518	21.172331	23.104204
kfl00001_0310	0	0	0	0	0	0
kfl00001_0320	95.409111	49.264969	78.347008	78.433685	108.872162	109.469879
kfl00001_0330	10.927282	10.303452	11.267161	9.954	10.200085	10.379475
kfl00001_0340	41.009949	36.501297	36.089401	37.272522	35.070568	34.266888
kfl00001_0350	16.715887	16.23304	16.339056	12.597237	13.172986	14.247682
kfl00001_0360	19.655148	17.982922	20.147291	18.89266	18.216908	19.047636
kfl00001_0370	21.715322	17.566271	19.048803	19.965755	17.436857	19.734066
kfl00001_0380	16.902206	17.755068	18.11805	16.951605	16.908203	16.901779
