geneID	LL_1	LL_2	HL_1	HL_2
kfl00001_0010	15.100259	13.081358	10.041955	12.376185
kfl00001_0030	91.777298	82.29081	90.911018	102.197639
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	30.549137	20.190336	20.923981	14.725505
kfl00001_0060	206.657867	224.313828	148.342453	157.939102
kfl00001_0070	14.40555	14.462082	19.408718	19.622875
kfl00001_0080	20.514433	23.208353	14.170519	13.971727
kfl00001_0090	3.538893	6.702085	4.862867	7.614305
kfl00001_0100	0	0	0	0
kfl00001_0110	42.525028	35.157436	61.962326	59.99744
kfl00001_0120	166.565948	175.405304	143.095093	171.913788
kfl00001_0130	15.581856	12.937151	8.175754	10.635101
kfl00001_0140	34.019279	24.337843	21.51103	24.499363
kfl00001_0150	0	0	0	0
kfl00001_0160	5.309602	5.522514	0.672928	1.251745
kfl00001_0170	5.163702	9.617953	1.729994	1.384675
kfl00001_0180	11.050174	9.324755	11.161699	15.730397
kfl00001_0190	17.412003	18.631292	8.659721	9.390509
kfl00001_0200	22.570074	21.288712	20.407261	18.884325
kfl00001_0210	9.728431	9.536538	1.98078	3.882423
kfl00001_0220	43.333927	36.168583	36.662388	32.237484
kfl00001_0230	5.461467	6.234052	6.458602	7.698955
kfl00001_0240	60.896145	63.152348	49.578793	48.394035
kfl00001_0250	13.632751	20.929701	6.352515	6.777155
kfl00001_0260	9.585773	7.49234	4.266456	4.09393
kfl00001_0270	3.255457	3.01008	3.259705	2.791117
kfl00001_0280	11.293643	14.979788	8.214007	6.94249
kfl00001_0290	16.601437	15.914865	13.895229	12.595384
kfl00001_0300	7.567517	8.04322	9.96191	7.338783
kfl00001_0310	0	0	0	0
kfl00001_0320	3466.260742	3283.612061	2232.267822	2382.83252
kfl00001_0330	8.370099	9.656528	2.813689	2.886075
kfl00001_0340	63.064106	58.291466	47.529686	58.302177
kfl00001_0350	8.95496	8.072702	9.752791	9.872735
kfl00001_0360	13.455755	12.671674	14.89572	21.677629
kfl00001_0370	15.656202	18.721655	8.341477	8.078384
kfl00001_0380	15.208081	12.338258	24.324623	31.116499
kfl00001_0390	11.332446	14.729913	6.939278	12.447504
kfl00001_0400	7.455785	5.230764	5.683692	8.138127
kfl00001_0410	6.163146	3.10797	0.776253	1.623838
kfl00001_0420	68.421608	61.74633	48.979774	52.456795
kfl00001_0430	3.834405	2.287934	4.404549	3.275927
kfl00001_0440	23.598309	23.778402	20.038305	16.829256
kfl00001_0450	31.510656	32.969002	18.358868	20.001558
kfl00001_0460	25.761389	27.715023	26.47345	26.724434
kfl00001_0470	30.69969	40.233952	16.557669	15.890772
kfl00001_0480	8.999855	9.959634	3.361676	4.019006
