geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.103919	12.996872	9.454202	12.077713
kfl00001_0030	92.958328	81.282188	91.257217	101.347336
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	31.634411	19.915644	19.634718	14.4946
kfl00001_0060	210.498032	225.170395	149.785675	156.475128
kfl00001_0070	14.520209	13.062196	19.224682	19.176348
kfl00001_0080	20.469261	22.147659	14.510022	14.189925
kfl00001_0090	3.743713	7.449514	4.688863	7.346961
kfl00001_0100	0	0	0	0
kfl00001_0110	41.455704	36.409798	62.707623	59.85606
kfl00001_0120	163.967804	174.023697	144.890381	174.356247
kfl00001_0130	14.412321	12.455957	8.276226	9.984035
kfl00001_0140	33.289135	24.168079	20.952272	24.571653
kfl00001_0150	0	0	0	0
kfl00001_0160	5.471755	5.722818	0.679894	1.159775
kfl00001_0170	5.072767	10.627245	1.801298	1.086259
kfl00001_0180	10.820834	9.394854	11.135526	15.587954
kfl00001_0190	18.016132	17.754784	8.689456	9.45738
kfl00001_0200	23.962566	21.477877	20.756321	17.5172
kfl00001_0210	10.072986	9.181934	2.09036	4.055315
kfl00001_0220	44.424412	33.397614	35.957569	32.850777
kfl00001_0230	5.729279	6.134226	6.524534	8.167674
kfl00001_0240	59.629589	64.055153	49.450752	47.744228
kfl00001_0250	13.159184	21.51948	6.415082	6.548074
kfl00001_0260	8.386256	8.503797	4.335912	4.459997
kfl00001_0270	3.312144	2.987026	3.403797	2.399244
kfl00001_0280	11.694511	14.615562	8.291738	6.791019
kfl00001_0290	16.456156	15.985433	13.92991	12.408917
kfl00001_0300	7.434074	7.725278	9.974032	7.512006
kfl00001_0310	0	0	0	0
kfl00001_0320	3458.157227	3272.905518	2216.492432	2380.852051
kfl00001_0330	8.154279	8.707307	2.872767	2.795735
kfl00001_0340	63.150169	59.043083	49.487404	58.421864
kfl00001_0350	8.728242	7.529251	9.585718	9.109902
kfl00001_0360	14.202994	12.749562	14.415775	22.235998
kfl00001_0370	15.658872	18.195152	8.247164	7.466204
kfl00001_0380	14.654799	12.768622	25.075108	31.144016
kfl00001_0390	10.992851	14.99153	7.048338	12.503072
kfl00001_0400	7.4599	4.491679	5.770519	9.115649
kfl00001_0410	5.841012	3.142277	0.618206	1.882034
kfl00001_0420	68.378395	59.814983	50.203785	54.735981
kfl00001_0430	3.85906	2.024254	4.17317	3.154306
kfl00001_0440	23.716013	22.964748	21.162624	16.577724
kfl00001_0450	31.91618	33.201996	19.062424	20.03009
kfl00001_0460	25.864428	26.568062	26.927288	26.961163
kfl00001_0470	30.698795	39.495426	16.341717	17.266167
kfl00001_0480	9.303789	10.388563	3.26553	3.683697
kfl00001_0490	13.529976	13.124331	5.191313	3.695544
kfl00001_0500	103.971939	95.311501	79.605362	84.330132
kfl00001_0510	4.759756	9.354603	13.754746	11.361828
kfl00001_0520	9.257098	9.412072	6.07922	8.897803
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	11.242767	14.957876	4.44994	7.318963
kfl00001_0560	13.900142	19.829622	8.727423	13.098341
kfl00001_0570	0.911436	0.900185	0.170963	0.26468
kfl00001_0580	13.104978	13.905585	17.120602	13.316139
kfl00001_0590	28.713448	22.241833	11.030395	11.518959
kfl00001_0600	8.321208	11.485349	3.136828	3.41102
kfl00001_0610	13.861006	16.755033	5.216131	8.299979
kfl00001_0620	1597.977783	1615.536133	1447.407715	1381.188721
kfl00001_0630	0	0	0	0
kfl00001_0640	2.574831	2.334857	3.348281	4.100293
kfl00001_0650	79.788689	72.092194	56.478783	53.499836
kfl00001_0660	14.50697	9.732536	11.219963	11.563899
kfl00001_0670	11.126252	9.344362	15.798344	16.940224
kfl00001_0680	0	0	0	0
kfl00001_0690	4.266577	3.799919	0	0
kfl00001_0700	1.762648	3.208243	0	1.006501
kfl00001_0710	12.963167	13.682533	10.69819	13.815961
kfl00001_0720	3.004692	2.563101	1.432991	0.847804
kfl00001_0730	48.770496	49.812164	42.739964	50.16703
kfl00001_0740	98.085396	88.84642	58.754375	46.27161
kfl00001_0750	16.775101	17.632698	11.713423	12.27694
kfl00001_0760	4.441748	3.579226	0.672805	1.129071
kfl00001_0770	117.724915	118.351868	83.57814	74.854027
