kfl00001_0490 AT2G23890
kfl00001_0690 AT5G62410
kfl00001_0850 AT1G78600
kfl00002_0480 AT3G02870
kfl00002_0670 AT5G33320
kfl00003_0130 AT5G53580
kfl00003_0340 AT5G63620
kfl00003_0640 AT5G65760
kfl00003_0760 AT1G07745
kfl00004_0210 AT1G21065
kfl00004_0250 AT1G17410
kfl00004_0420 AT3G48170
kfl00005_0020 AT3G06670
kfl00005_0040 AT1G74070
kfl00006_0430 AT5G55760
kfl00006_0460 AT1G26940
kfl00006_0840 AT1G04985
kfl00007_0530 AT2G28100
kfl00007_0630 AT5G51880
kfl00008_0060 AT1G54790
kfl00008_0180 AT2G38290
kfl00009_0310 AT2G35100
kfl00009_0350 AT3G62010
kfl00009_0420 AT2G44350
kfl00009_0660 AT4G28830
kfl00010_0300 AT3G14740
kfl00011_0150 AT1G61740
kfl00012_0110 AT5G09230
kfl00012_0280 AT3G61113
kfl00012_0630 AT5G38410
kfl00013_0090 AT1G71730
kfl00013_0160 AT4G05050
kfl00013_0360 AT4G11050
kfl00014_0140 AT3G17760
kfl00014_0330 AT3G02870
kfl00015_0080 AT1G67550
kfl00016_0010 AT3G51520
kfl00016_0190 AT5G64440
kfl00016_0490 AT1G27480
kfl00017_0380 AT3G26760
kfl00018_0170 AT4G24530
kfl00018_0500 AT1G15520
kfl00019_0020 AT3G60150
kfl00019_0100 AT5G47820
kfl00019_0190 AT2G24830
kfl00021_0400 AT5G50375
kfl00022_0300 AT3G12940
kfl00022_0420 AT4G12830
kfl00023_0070 AT3G47470
kfl00023_0460 AT2G30620
kfl00024_0150 AT4G29330
kfl00024_0260 AT3G08610
kfl00025_0130 AT5G45370
kfl00025_0170 AT5G48790
kfl00025_0370 AT2G06210
kfl00026_0260 AT3G25980
kfl00026_0310 AT2G24640
kfl00027_0050 AT1G43670
kfl00027_g54 AT2G03870
kfl00028_0270 AT5G06680
kfl00029_0180 AT4G18240
kfl00029_0270 AT5G44635
kfl00030_0180 AT5G25880
kfl00030_0320 AT1G17870
kfl00031_0160 AT5G48720
kfl00031_0500 AT5G41790
kfl00032_0080 AT5G04920
kfl00032_0190 AT2G39780
kfl00032_0420 AT3G10960
kfl00033_0050 AT4G24710
kfl00033_0310 AT2G16440
kfl00034_0180 AT3G43660
kfl00034_0250 AT3G13780
kfl00034_0260 AT2G01980
kfl00035_0180 AT2G42810
kfl00037_0200 AT5G48580
kfl00037_0260 AT3G01850
kfl00038_0210 AT3G27120
kfl00038_0330 AT3G12780
kfl00039_0280 AT5G25640
kfl00039_0290 AT3G19210
kfl00040_0060 AT2G41760
kfl00041_0190 AT4G35570
kfl00043_0150 AT4G34570
kfl00044_0010 AT1G26665
kfl00044_0130 AT3G58800
