kfl00001_0060	Cre12.g484700
kfl00001_0070	Cre12.g489600
kfl00001_0110	Cre01.g043350
kfl00001_0120	Cre09.g407700
kfl00001_0130	Cre02.g082900
kfl00001_0140	Cre02.g082900
kfl00001_0150	Cre01.g025850
kfl00001_0170	Cre03.g212753
kfl00001_0200	Cre03.g174850
kfl00001_0210	Cre16.g665050
kfl00001_0230	Cre12.g546450
kfl00001_0250	Cre02.g084800
kfl00001_0260	Cre02.g114250
kfl00001_0270	Cre11.g479200
kfl00001_0280	Cre09.g400812
kfl00001_0300	Cre04.g228650
kfl00001_0330	Cre13.g591350
kfl00001_0340	Cre06.g310050
kfl00001_0350	Cre07.g342350
kfl00001_0360	Cre10.g427000
kfl00001_0390	Cre12.g509300
kfl00001_0400	Cre08.g364351
kfl00001_0410	Cre10.g433150
kfl00001_0430	Cre06.g263100
kfl00001_0440	Cre06.g295450
kfl00001_0450	Cre11.g468377
kfl00001_0470	Cre06.g284700
kfl00001_0480	Cre16.g689647
kfl00001_0490	Cre13.g573150
kfl00001_0500	Cre07.g333450
kfl00001_0530	Cre12.g508250
kfl00001_0540	Cre10.g417600
kfl00001_0550	Cre06.g295250
kfl00001_0580	Cre05.g238052
kfl00001_0610	Cre10.g420550
kfl00001_0620	Cre06.g272950
kfl00001_0640	Cre16.g679200
kfl00001_0650	Cre03.g168850
kfl00001_0660	Cre12.g526850
kfl00001_0670	Cre12.g485800
kfl00001_0690	Cre02.g086650
kfl00001_0700	Cre17.g704950
kfl00001_0710	Cre16.g658650
kfl00001_0720	Cre09.g398289
kfl00001_0730	Cre15.g643703
kfl00001_0740	Cre06.g267500
kfl00001_0750	Cre04.g218700
kfl00001_0760	Cre09.g395500
kfl00001_0780	Cre08.g365600
kfl00001_0785	Cre08.g365600
kfl00001_0790	Cre06.g286250
kfl00001_0800	Cre06.g275300
kfl00001_0830	Cre01.g002250
kfl00001_0840	Cre03.g185300
kfl00001_0850	Cre06.g278200
kfl00001_0860	Cre02.g103850
kfl00001_0870	Cre09.g397364
kfl00002_0010	Cre12.g507450
kfl00002_0020	Cre12.g517150
kfl00002_0030	Cre11.g467576
kfl00002_0040	Cre16.g673841
kfl00002_0050	Cre12.g483950
kfl00002_0060	Cre13.g602700
kfl00002_0080	Cre10.g438550
kfl00002_0090	Cre12.g484250
kfl00002_0100	Cre12.g534600
kfl00002_0110	Cre08.g374400
kfl00002_0120	Cre12.g502901
kfl00002_0130	Cre01.g054100
kfl00002_0140	Cre16.g659400
kfl00002_0150	Cre09.g393691
kfl00002_0160	Cre02.g074900
kfl00002_0170	Cre03.g169650
kfl00002_0180	Cre06.g270900
kfl00002_0190	Cre16.g675973
kfl00002_0200	Cre06.g301050
kfl00002_0210	Cre16.g685550
kfl00002_0220	Cre10.g433100
kfl00002_0240	Cre08.g372400
kfl00002_0250	Cre09.g392350
kfl00002_0260	Cre17.g747897
kfl00002_0270	Cre12.g489750
kfl00002_0280	Cre01.g045902
kfl00002_0290	Cre01.g027950
kfl00002_0300	Cre08.g385700
kfl00002_0310	Cre16.g648100
kfl00002_0320	Cre12.g505800
kfl00002_0330	Cre14.g628500
kfl00002_0340	Cre10.g438500
kfl00002_0370	Cre02.g120150
kfl00002_0380	Cre02.g097250
kfl00002_0400	Cre14.g610900
kfl00002_0420	Cre10.g439150
kfl00002_0430	Cre03.g204353
kfl00002_0440	Cre06.g294450
kfl00002_0450	Cre02.g147000
kfl00002_0460	Cre17.g711950
kfl00002_0470	Cre07.g338900
kfl00002_0480	Cre06.g278202
kfl00002_0490	Cre09.g388450
kfl00002_0530	Cre12.g514850
kfl00002_0540	Cre03.g161550
kfl00002_0560	Cre01.g047450
kfl00002_0590	Cre01.g031500
kfl00002_0595	Cre06.g256420
kfl00002_0605	Cre03.g170650
kfl00002_0610	Cre01.g000300
kfl00002_0620	Cre02.g103500
kfl00002_0650	Cre12.g484750
kfl00002_0660	Cre03.g211633
kfl00002_0670	Cre06.g263850
kfl00002_0680	Cre01.g019200
kfl00002_0700	Cre16.g662800
kfl00002_0710	Cre12.g541850
kfl00002_0720	Cre01.g026600
kfl00002_0730	Cre06.g285001
kfl00002_0740	Cre01.g012450
kfl00002_0750	Cre03.g199050
kfl00002_0760	Cre12.g552827
kfl00002_0770	Cre13.g571200
kfl00002_0780	Cre07.g329900
kfl00002_0790	Cre11.g467678
kfl00002_0800	Cre03.g197400
kfl00003_0010	Cre13.g571200
kfl00003_0030	Cre10.g429600
kfl00003_0040	Cre12.g554850
kfl00003_0055	Cre13.g606200
kfl00003_0060	Cre07.g342800
kfl00003_0070	Cre10.g422150
kfl00003_0080	Cre06.g255250
kfl00003_0100	Cre17.g743547
kfl00003_0110	Cre01.g001400
kfl00003_0130	Cre04.g216350
kfl00003_0140	Cre17.g746547
kfl00003_0160	Cre12.g517700
kfl00003_0180	Cre16.g651400
kfl00003_0200	Cre16.g651400
kfl00003_0210	Cre01.g007600
kfl00003_0240	Cre13.g565750
kfl00003_0250	Cre07.g314400
kfl00003_0260	Cre03.g146687
kfl00003_0270	Cre14.g628350
kfl00003_0280	Cre01.g037400
kfl00003_0290	Cre06.g264200
kfl00003_0300	Cre16.g669550
kfl00003_0310	Cre13.g571200
kfl00003_0320	Cre01.g003050
kfl00003_0330	Cre16.g689250
kfl00003_0340	Cre12.g543350
kfl00003_0350	Cre07.g332150
kfl00003_0360	Cre13.g579200
kfl00003_0370	Cre01.g045600
kfl00003_0400	Cre06.g306000
kfl00003_0420	Cre06.g278252
kfl00003_0430	Cre06.g286350
kfl00003_0470	Cre07.g344350
kfl00003_0490	Cre14.g626950
kfl00003_0530	Cre17.g724200
kfl00003_0540	Cre01.g046652
kfl00003_0550	Cre06.g286600
kfl00003_0560	Cre06.g311150
kfl00003_0570	Cre17.g741150
kfl00003_0590	Cre06.g295450
kfl00003_0600	Cre06.g264250
kfl00003_0630	Cre14.g619350
kfl00003_0640	Cre10.g422150
kfl00003_0650	Cre13.g569850
kfl00003_0660	Cre04.g216050
kfl00003_0680	Cre16.g659400
kfl00003_0690	Cre16.g666550
kfl00003_0700	Cre01.g043350
kfl00003_0710	Cre09.g414000
kfl00003_0720	Cre09.g393400
kfl00003_0740	Cre09.g401701
kfl00003_0760	Cre03.g184651
kfl00004_0010	Cre09.g397364
kfl00004_0020	Cre06.g280200
kfl00004_0030	Cre07.g313800
kfl00004_0060	Cre12.g532050
kfl00004_0070	Cre03.g184500
kfl00004_0110	Cre02.g142627
kfl00004_0120	Cre03.g210625
kfl00004_0130	Cre06.g285150
kfl00004_0150	Cre12.g509800
kfl00004_0200	Cre05.g245900
kfl00004_0210	Cre01.g043100
kfl00004_0220	Cre06.g297400
kfl00004_0230	Cre06.g292100
kfl00004_0250	Cre12.g558700
kfl00004_0260	Cre04.g223000
kfl00004_0270	Cre12.g530650
kfl00004_0290	Cre04.g217935
kfl00004_0300	Cre03.g193800
kfl00004_0310	Cre05.g234648
kfl00004_0320	Cre07.g329000
kfl00004_0330	Cre08.g379450
kfl00004_0340	Cre03.g173300
kfl00004_0343	Cre03.g159016
kfl00004_0370	Cre17.g702750
kfl00004_0380	Cre10.g455750
kfl00004_0390	Cre12.g531600
kfl00004_0410	Cre02.g115750
kfl00004_0420	Cre16.g684043
kfl00004_0430	Cre09.g416950
kfl00004_0440	Cre06.g278093
kfl00004_0480	Cre03.g150950
kfl00004_0490	Cre13.g602400
kfl00004_0500	Cre09.g397253
kfl00004_0520	Cre12.g519700
kfl00004_0530	Cre12.g522450
kfl00004_0540	Cre10.g428750
kfl00004_0550	Cre16.g663850
kfl00004_0570	Cre09.g398141
kfl00004_0580	Cre03.g179300
kfl00004_0610	Cre04.g216150
kfl00004_0620	Cre01.g021050
kfl00004_0630	Cre06.g302700
kfl00005_0020	Cre17.g701300
kfl00005_0030	Cre07.g313600
kfl00005_0040	Cre03.g174750
kfl00005_0060	Cre03.g151000
kfl00005_0070	Cre12.g538750
kfl00005_0090	Cre17.g702550
kfl00005_0100	Cre17.g702451
kfl00005_0110	Cre03.g209281
kfl00005_0120	Cre01.g049000
kfl00005_0130	Cre12.g532050
kfl00005_0160	Cre04.g225750
kfl00005_0180	Cre01.g032500
kfl00005_0190	Cre01.g037400
kfl00005_0200	Cre12.g532050
kfl00005_0210	Cre13.g585750
kfl00005_0220	Cre12.g514450
kfl00005_0230	Cre17.g744947
kfl00005_0240	Cre12.g532050
kfl00005_0250	Cre03.g177250
kfl00005_0290	Cre16.g687000
kfl00005_0310	Cre12.g531700
kfl00005_0330	Cre16.g650400
kfl00005_0340	Cre02.g078939
kfl00005_0350	Cre06.g270850
kfl00005_0380	Cre10.g445600
kfl00005_0390	Cre12.g511400
kfl00005_0400	Cre17.g738000
kfl00005_0430	Cre17.g747347
kfl00005_0460	Cre08.g362650
kfl00005_0465	Cre08.g362650
kfl00005_0490	Cre12.g516100
kfl00005_0540	Cre02.g078550
kfl00005_0560	Cre17.g747197
kfl00005_0590	Cre10.g437150
kfl00005_0620	Cre03.g182500
kfl00005_0630	Cre14.g625500
kfl00005_0660	Cre04.g220350
kfl00005_0690	Cre01.g032050
kfl00006_0030	Cre15.g640250
kfl00006_0040	Cre13.g568900
kfl00006_0050	Cre09.g403750
kfl00006_0060	Cre02.g088500
kfl00006_0080	Cre07.g322884
kfl00006_0100	Cre03.g208100
kfl00006_0110	Cre18.g749697
kfl00006_0120	Cre10.g424775
kfl00006_0130	Cre10.g424775
kfl00006_0140	Cre12.g489153
kfl00006_0150	Cre16.g654500
kfl00006_0160	Cre07.g328400
kfl00006_0230	Cre01.g047600
kfl00006_0240	Cre13.g587350
kfl00006_0250	Cre03.g194450
kfl00006_0260	Cre06.g264550
kfl00006_0270	Cre01.g032750
kfl00006_0330	Cre12.g547100
kfl00006_0340	Cre01.g010550
kfl00006_0350	Cre07.g341600
kfl00006_0380	Cre06.g278245
kfl00006_0390	Cre02.g146000
kfl00006_0400	Cre12.g520500
kfl00006_0410	Cre17.g743847
kfl00006_0430	Cre10.g462200
kfl00006_0440	Cre13.g568700
kfl00006_0450	Cre11.g482483
kfl00006_0460	Cre06.g292500
kfl00006_0470	Cre16.g650550
kfl00006_0480	Cre12.g542450
kfl00006_0490	Cre02.g095045
kfl00006_0500	Cre14.g628702
kfl00006_0510	Cre12.g513852
kfl00006_0530	Cre06.g246958
kfl00006_0550	Cre10.g439100
kfl00006_0560	Cre14.g613300
