kfl00001_0820 AT3G17840
kfl00002_0120 AT4G08850
kfl00002_0330 AT4G33360
kfl00002_0530 AT2G04030
kfl00002_0610 AT4G24140
kfl00003_0180 AT4G10150
kfl00003_0570 AT4G20140
kfl00003_0590 AT1G68010
kfl00003_0600 AT2G32640
kfl00003_0740 AT1G73650
kfl00004_0220 AT1G23740
kfl00004_0500 AT1G26380
kfl00005_0300 AT2G47760
kfl00005_0330 AT2G12646
kfl00005_0400 AT5G35525
kfl00005_0550 AT2G35480
kfl00005_0690 AT1G14360
kfl00006_0030 AT2G03820
kfl00006_0150 AT2G39990
kfl00006_0350 AT5G17710
kfl00006_0670 AT3G56290
kfl00006_0710 AT3G11400
kfl00006_0730 AT1G32340
kfl00006_0740 AT3G18940
kfl00007_0400 AT2G31890
kfl00008_0200 AT3G45140
kfl00008_0310 AT4G10630
kfl00009_0280 AT4G22260
kfl00009_0450 AT5G60990
kfl00009_0560 AT5G02860
kfl00012_0030 AT1G47980
kfl00012_0430 AT5G60790
kfl00013_0050 AT5G54370
kfl00013_0260 AT5G49470
kfl00013_0410 AT3G24460
kfl00013_0520 AT5G12180
kfl00013_0580 AT5G24000
kfl00014_0230 AT3G26060
kfl00014_0250 AT3G26060
kfl00014_0530 AT2G34357
kfl00015_0220 AT1G44575
kfl00016_0070 AT5G39040
kfl00016_0230 AT1G52500
kfl00016_0240 AT3G45140
kfl00016_0330 AT3G10800
kfl00017_0010 AT1G56110
kfl00017_0090 AT1G06800
kfl00017_0230 AT1G04980
kfl00018_0240 AT1G36320
kfl00018_0480 AT4G37550
kfl00018_0520 AT1G30970
kfl00018_0610 AT3G10840
kfl00019_0140 AT3G60860
kfl00019_0250 AT3G26710
kfl00019_0560 AT4G36420
kfl00020_0020 AT2G05620
kfl00020_0040 AT1G15390
kfl00020_0550 AT4G32590
kfl00021_0170 AT4G23430
kfl00021_0420 AT2G17420
kfl00022_0140 AT1G17500
kfl00023_0180 AT5G38640
kfl00023_0310 AT3G09720
kfl00025_0300 AT5G55580
kfl00026_0530 AT3G26400
kfl00028_0070 AT5G17170
kfl00028_0080 AT4G22130
kfl00028_0450 AT2G45120
kfl00028_0500 AT5G06060
kfl00028_0510 AT5G10190
kfl00029_0010 AT1G33270
kfl00029_0080 AT4G25630
kfl00029_0410 AT3G06060
kfl00030_0090 AT2G28210
kfl00030_0220 AT5G13190
kfl00030_0340 AT3G07430
kfl00031_0235 AT1G01540
kfl00032_0140 AT5G24460
kfl00032_0510 AT1G20370
kfl00033_0150 AT3G01090
kfl00033_0230 AT1G79310
kfl00033_0330 AT5G49820
kfl00036_0100 AT3G07130
kfl00036_0150 AT2G37970
kfl00036_0190 AT2G20780
kfl00036_0210 AT1G65260
kfl00036_0400 AT5G62740
kfl00037_0250 AT1G74410
kfl00038_0230 AT2G40890
kfl00038_0300 AT3G53500
kfl00038_0360 AT2G23140
kfl00039_0130 AT1G18910
kfl00039_g14 AT5G37350
kfl00040_0240 AT5G37475
kfl00040_0320 AT3G13445
kfl00041_0020 AT3G07560
kfl00041_0090 AT2G41700
kfl00043_0200 AT1G57770
kfl00043_0390 AT1G68660
kfl00044_0020 AT5G47010
kfl00044_0330 AT3G14010
kfl00045_0030 AT5G55600
kfl00045_0180 AT1G42430
kfl00046_0300 AT1G14870
kfl00047_0070 AT3G45770
kfl00048_0090 AT3G07565
kfl00048_0270 AT3G43660
kfl00048_0450 AT4G01800
kfl00049_0030 AT4G01150
kfl00050_0340 AT2G37220
kfl00050_0490 AT3G53490
kfl00050_0510 AT5G10500
kfl00051_0250 AT5G35170
kfl00052_0190 AT1G53280
kfl00052_0260 AT3G22840
kfl00053_0070 AT4G18810
kfl00053_0390 AT1G30450
kfl00054_0060 AT2G33410
kfl00054_0160 AT4G36690
kfl00056_0060 AT3G06110
kfl00056_0070 AT5G08580
kfl00056_0140 AT2G38290
kfl00057_0280 AT5G06620
kfl00057_0320 AT1G29230
kfl00058_0030 AT3G01060
kfl00059_0190 AT3G47390
kfl00059_0250 AT5G47430
kfl00060_0130 AT3G54826
kfl00061_0330 AT1G25500
kfl00062_0150 AT5G61790
kfl00062_0200 AT5G21105
kfl00065_0150 AT1G72630
kfl00065_0240 AT5G19900
kfl00067_0410 AT1G22170
kfl00072_0200 AT3G47390
kfl00074_0090 AT2G43080
kfl00075_0050 AT1G35660
kfl00076_0060 AT1G74640
kfl00076_0150 AT1G55490
kfl00078_0060 AT1G34220
kfl00078_0290 AT4G11420
kfl00078_0370 AT1G71960
kfl00079_0440 AT5G06950
kfl00080_0140 AT5G56000
kfl00080_0220 AT4G01090
kfl00080_0260 AT1G12560
kfl00081_0090 AT4G30860
kfl00083_0200 AT1G31660
kfl00083_0290 AT4G16630
kfl00084_0230 AT4G19040
kfl00085_0340 AT1G30420
kfl00085_0440 AT5G04850
kfl00086_0110 AT5G41070
kfl00088_0100 AT4G09730
kfl00088_0250 AT5G03790
kfl00089_0100 AT5G57120
kfl00090_0160 AT1G56340
kfl00090_0300 AT1G55240
kfl00091_0240 AT4G21860
kfl00091_0330 AT1G42540
kfl00092_0050 AT3G17800
kfl00092_0240 AT1G34000
kfl00093_0070 AT1G44575
kfl00093_0080 AT1G50200
kfl00093_0130 AT5G16040
kfl00094_0190 AT1G60440
kfl00094_0260 AT1G53540
kfl00094_0300 AT3G25230
kfl00095_0070 AT1G22410
kfl00095_0160 AT3G18390
kfl00096_0080 AT3G24190
kfl00096_0150 AT4G26640
kfl00096_0180 AT5G41460
kfl00096_0190 AT1G32700
kfl00097_0070 AT3G63200
kfl00097_0260 AT4G02880
kfl00098_0010 AT3G02520
kfl00098_0330 AT4G33950
kfl00098_0380 AT3G03790
kfl00099_0220 AT3G12400
kfl00099_0250 AT4G33360
kfl00101_0150 AT3G20390
kfl00101_0160 AT1G60230
kfl00101_0190 AT4G28630
kfl00101_0200 AT2G38970
kfl00103_0030 AT1G69070
kfl00103_0050 AT3G45880
kfl00103_0080 AT3G07700
kfl00103_0130 AT4G14210
kfl00104_0280 AT5G41190
kfl00107_0150 AT1G53160
kfl00109_0340 AT1G48910
kfl00110_0180 AT1G71500
kfl00111_0060 AT1G26460
kfl00112_0210 AT5G38560
kfl00113_0150 AT2G28000
kfl00117_0200 AT1G15900
kfl00117_0230 AT5G64510
kfl00118_0310 AT4G23430
kfl00119_0090 AT3G02850
kfl00120_0050 AT5G60640
kfl00121_0050 AT5G54910
kfl00124_0310 AT1G10170
kfl00125_0250 AT4G33950
kfl00128_0050 AT1G78870
kfl00128_0190 AT5G02120
kfl00128_0200 AT3G43590
kfl00129_0040 AT5G27600
kfl00130_0010 AT1G73990
kfl00132_0200 AT5G41380
kfl00132_0240 AT2G26640
kfl00133_0040 AT3G16857
kfl00133_0110 AT3G15380
kfl00134_0100 AT1G68300
kfl00136_0230 AT3G10650
kfl00136_0240 AT1G61850
kfl00138_0020 AT3G63520
kfl00138_0070 AT4G15093
kfl00138_0080 AT5G38890
kfl00138_0160 AT5G38960
kfl00139_0120 AT5G20220
kfl00141_0290 AT5G17500
kfl00142_0040 AT5G37055
kfl00143_0050 AT5G55490
kfl00144_0240 AT5G61840
kfl00144_0250 AT4G00370
kfl00146_0110 AT3G22142
kfl00147_0100 AT5G20160
kfl00147_0140 AT2G35795
kfl00147_0260 AT5G22060
kfl00149_0010 AT4G38650
kfl00151_0160 AT2G35130
kfl00153_0220 AT1G16250
kfl00154_0160 AT5G63630
kfl00155_0040 AT2G46500
kfl00155_0120 AT5G22850
kfl00158_0080 AT5G62190
kfl00159_0170 AT3G53940
kfl00165_0120 AT2G31190
kfl00165_0150 AT5G03900
kfl00166_0210 AT1G18680
kfl00169_0090 AT3G50560
kfl00172_0090 AT4G28080
kfl00173_0020 AT1G53540
kfl00173_0180 AT5G51980
kfl00173_0320 AT3G14200
kfl00175_0070 AT5G23340
kfl00175_0080 AT3G14360
kfl00176_0080 AT4G36530
kfl00177_0100 AT5G15640
kfl00177_0240 AT2G27100
kfl00178_0150 AT1G26761
kfl00178_0170 AT1G05410
kfl00181_0230 AT1G55040
kfl00181_0260 AT5G21160
kfl00184_0190 AT1G14360
kfl00185_0150 AT1G79530
kfl00186_0020 AT1G02120
kfl00186_0090 AT4G37740
kfl00189_0140 AT5G14610
kfl00190_0180 AT5G09590
kfl00191_0020 AT1G10510
kfl00191_0080 AT1G65230
kfl00192_0020 AT2G31320
kfl00192_0040 AT1G07420
kfl00192_0050 AT5G14660
kfl00193_0110 AT3G57520
kfl00198_0260 AT1G67120
kfl00199_0170 AT5G39410
kfl00200_0130 AT3G18030
kfl00200_0140 AT4G14040
kfl00201_0140 AT4G35250
kfl00201_0150 AT2G30950
kfl00204_0070 AT2G19410
kfl00210_0150 AT1G26480
kfl00215_0180 AT5G10540
kfl00216_0060 AT5G66120
kfl00216_0100 AT1G33030
kfl00217_0080 AT5G13960
kfl00217_0120 AT3G11750
kfl00220_0100 AT3G58050
kfl00220_0160 AT4G37200
kfl00222_0020 AT3G13224
kfl00222_0050 AT1G67480
kfl00222_0170 AT1G49760
kfl00222_0180 AT1G78780
kfl00223_0050 AT3G47910
kfl00223_0070 AT2G25530
kfl00224_0030 AT1G73680
kfl00224_0210 AT5G50450
kfl00234_0080 AT5G66210
kfl00238_0120 AT1G59560
kfl00242_0110 AT1G04690
kfl00243_0100 AT2G18380
kfl00245_0010 AT1G50920
kfl00245_0020 AT1G23280
kfl00249_0060 AT3G20860
kfl00250_0210 AT1G12240
kfl00252_0070 AT4G28450
kfl00254_0140 AT5G32470
kfl00257_0020 AT3G21740
kfl00259_0020 AT3G01540
kfl00259_0080 AT5G53970
kfl00260_0030 AT1G46264
kfl00260_0110 AT2G44860
kfl00263_0070 AT2G13610
kfl00263_0080 AT5G35910
kfl00266_0020 AT2G25605
kfl00273_0060 AT1G73680
kfl00273_0110 AT2G47180
kfl00276_0130 AT2G37010
kfl00278_0110 AT2G38820
kfl00280_0070 AT3G57810
kfl00281_0110 AT1G74850
kfl00291_0060 AT5G27120
kfl00292_0110 AT1G43710
kfl00292_0140 AT3G23990
kfl00292_0180 AT2G46290
kfl00293_0030 AT5G64300
kfl00296_0030 AT1G54520
kfl00296_0160 AT3G62760
kfl00297_0070 AT2G01980
kfl00298_0090 AT3G61750
kfl00300_0040 AT5G57350
kfl00300_0045 AT3G60330
kfl00300_0050 AT5G50110
kfl00300_0060 AT5G46800
kfl00303_0120 AT1G52560
kfl00304_0100 AT3G51250
kfl00305_0120 AT3G29130
kfl00305_0130 AT2G22250
kfl00309_0010 AT4G24520
kfl00309_0190 AT4G20110
kfl00312_0040 AT3G55240
kfl00312_0170 AT3G22910
kfl00316_0030 AT1G07210
kfl00319_0100 AT1G11960
kfl00323_0120 AT5G35970
kfl00325_0060 AT5G42220
kfl00325_0080 AT5G01410
kfl00328_0130 AT3G25840
kfl00328_0170 AT5G15860
kfl00331_0140 AT3G48560
kfl00332_0110 AT1G04420
kfl00337_0010 AT1G30400
kfl00338_0080 AT3G56120
kfl00341_0070 AT1G21760
kfl00342_0130 AT2G34660
kfl00342_0150 AT2G21510
kfl00342_0160 AT1G73600
kfl00346_0010 AT1G71140
kfl00346_0080 AT5G35180
kfl00349_0030 AT4G22130
kfl00350_0050 AT2G26200
kfl00358_0100 AT5G06560
kfl00359_0080 AT1G09020
kfl00361_0060 AT4G25030
kfl00361_0070 AT4G21580
kfl00363_0040 AT5G14760
kfl00365_0060 AT5G57110
kfl00368_0070 AT3G07020
kfl00370_0040 AT2G21970
kfl00378_0070 AT5G56220
kfl00379_0040 AT3G26570
kfl00379_0060 AT2G31770
kfl00381_0020 AT2G35530
kfl00385_0020 AT3G21215
kfl00387_0020 AT5G15450
kfl00390_0050 AT3G05510
kfl00393_0050 AT5G13830
kfl00395_0060 AT4G25340
kfl00396_0130 AT4G04890
kfl00400_0070 AT4G33540
kfl00404_0080 AT1G53540
kfl00408_0010 AT4G13850
kfl00408_0020 AT5G57280
kfl00416_0100 AT5G42020
kfl00416_0110 AT4G24190
kfl00417_0050 AT2G03390
kfl00417_0110 AT3G29390
kfl00417_0120 AT3G47730
kfl00417_0130 AT3G47790
kfl00423_0050 AT5G57870
kfl00426_0020 AT3G48070
kfl00426_0080 AT2G40610
kfl00427_0060 AT5G35750
kfl00427_0100 AT1G71820
kfl00429_0050 AT1G60710
kfl00432_0030 AT2G27030
kfl00434_0020 AT5G20920
kfl00434_0030 AT1G12820
kfl00441_0040 AT5G61480
kfl00441_0080 AT1G29120
kfl00442_0060 AT3G50370
kfl00443_0050 AT1G24560
kfl00444_0040 AT1G78420
kfl00444_0110 AT4G13010
kfl00446_0060 AT3G17170
kfl00449_0070 AT3G63410
kfl00452_0020 AT5G05700
kfl00459_0070 AT1G19480
kfl00460_0030 AT5G49910
kfl00461_0060 AT1G29700
kfl00465_0070 AT1G07280
kfl00468_0020 AT4G22240
kfl00468_0110 AT1G75270
kfl00468_0120 AT2G46950
kfl00470_0040 AT4G01050
kfl00470_0080 AT5G49580
kfl00475_0020 AT5G20720
kfl00478_0030 AT3G61470
kfl00480_0050 AT4G39235
kfl00481_0050 AT4G38350
kfl00483_0050 AT3G53410
kfl00484_0050 AT1G24340
kfl00486_0090 AT5G64840
kfl00488_0100 AT1G76080
kfl00495_0010 AT5G24740
kfl00496_0010 AT3G27925
kfl00499_0010 AT4G31170
kfl00499_0050 AT5G51290
kfl00501_0020 AT5G42370
kfl00512_0060 AT3G02040
kfl00512_0100 AT5G15700
kfl00513_0020 AT2G25490
kfl00515_0050 AT4G25700
kfl00518_0070 AT5G17020
kfl00520_0010 AT1G56120
kfl00526_0020 AT1G65960
kfl00527_0050 AT5G49970
kfl00529_0050 AT5G60410
kfl00529_0090 AT1G19530
kfl00531_0080 AT3G11180
kfl00533_0090 AT1G03900
kfl00540_0050 AT5G47400
kfl00544_0010 AT3G08505
kfl00547_0050 AT5G51270
kfl00551_0060 AT4G07410
kfl00554_0010 AT1G67190
kfl00563_0110 AT3G18610
kfl00565_0070 AT1G14350
kfl00567_0030 AT2G36390
kfl00573_0020 AT5G61640
kfl00573_0030 AT3G17880
kfl00575_0020 AT5G38560
kfl00576_0010 AT1G62610
kfl00576_0020 AT2G22610
kfl00576_0030 AT1G72250
kfl00576_0050 AT1G72250
kfl00581_0090 AT4G15475
kfl00582_0010 AT3G55610
kfl00593_0050 AT2G47990
kfl00595_0010 AT2G25490
kfl00604_0070 AT1G08550
kfl00605_0070 AT3G54500
kfl00613_0050 AT1G75560
kfl00618_0030 AT4G14350
kfl00619_0010 AT3G09150
kfl00622_0040 AT5G03730
kfl00630_0030 AT3G18600
kfl00632_0090 AT1G65260
kfl00635_0030 AT2G32340
kfl00646_0015 AT4G30210
kfl00647_0060 AT1G73150
kfl00650_0090 AT1G47290
kfl00662_0030 AT1G78510
kfl00662_0060 AT1G16280
kfl00665_0020 AT3G48200
kfl00674_0060 AT4G18240
