geneID	LL	HL	BestHitAtha	BestHitCre
kfl00001_0330	9.0133135	2.849882	NA	Cre13.g591350
kfl00001_0490	14.1232415	4.554477	AT2G23890	Cre13.g573150
kfl00001_0690	4.056295	0	AT5G62410	Cre02.g086650
kfl00001_0850	50.2821045	17.0985155	AT1G78600	Cre06.g278200
kfl00002_0480	38.3431945	11.5152765	AT3G02870	Cre06.g278202
kfl00002_0670	50.86784	20.1013725	AT5G33320	Cre06.g263850
kfl00003_0130	18.4261895	2.8715055	AT5G53580	Cre04.g216350
kfl00003_0340	43.632061	16.3600945	AT5G63620	Cre12.g543350
kfl00003_0640	15.7029355	3.4397875	AT5G65760	Cre10.g422150
kfl00003_0760	4.7644055	0.757783	AT1G07745	Cre03.g184651
kfl00003_0770	25.1735295	4.9316455	NA	NA
kfl00004_0210	109.988186	26.3153065	AT1G21065	Cre01.g043100
kfl00004_0250	5.464796	0	AT1G17410	Cre12.g558700
kfl00004_0420	7.551712	2.0236715	AT3G48170	Cre16.g684043
kfl00005_0020	2.6641505	0	AT3G06670	Cre17.g701300
kfl00005_0040	1.528039	0	AT1G74070	Cre03.g174750
kfl00005_0500	285.6063995	59.088476	NA	NA
kfl00006_0430	4.9309095	0.877138	AT5G55760	Cre10.g462200
kfl00006_0460	8.324509	1.2645375	AT1G26940	Cre06.g292500
kfl00006_0840	13.6078885	4.1353275	AT1G04985	NA
kfl00007_0050	223.58532	88.1754955	NA	NA
kfl00007_0530	22.78576	8.5387255	AT2G28100	NA
kfl00007_0630	27.425443	10.920227	AT5G51880	Cre14.g619900
kfl00008_0060	46.832077	13.0088015	AT1G54790	NA
kfl00008_0180	30.435547	2.657197	AT2G38290	Cre13.g569850
kfl00009_0310	9.2162345	3.334205	AT2G35100	Cre09.g390750
kfl00009_0350	114.611336	39.02544	AT3G62010	NA
kfl00009_0420	192.947037	80.3093185	AT2G44350	Cre12.g514750
kfl00009_0660	19.970398	7.970771	AT4G28830	Cre08.g384700
kfl00010_0300	1.72353	0	AT3G14740	Cre14.g614151
kfl00010_0310	5.8773805	0.8271115	NA	NA
kfl00010_0520	3.464082	0.9040825	NA	NA
kfl00011_0150	20.0465565	2.082669	AT1G61740	Cre14.g627350
kfl00012_0110	12.5697835	2.9408305	AT5G09230	Cre12.g524650
kfl00012_0280	24.32967	9.689216	AT3G61113	Cre10.g426000
kfl00012_0630	158.6256865	28.649471	AT5G38410	Cre02.g120150
kfl00013_0090	40.8007905	14.9154965	AT1G71730	Cre03.g176500
kfl00013_0160	22.1145915	3.2066895	AT4G05050	Cre11.g467567
kfl00013_0360	65.232353	12.5151275	AT4G11050	Cre06.g270500
kfl00014_0140	127.5031205	30.599963	AT3G17760	Cre03.g155051
kfl00014_0330	9.813117	2.0729255	AT3G02870	Cre06.g278202
kfl00014_g62	18.6593	4.715638	NA	NA
kfl00015_0080	5.115907	0	AT1G67550	NA
kfl00016_0010	76.443848	25.6216785	AT3G51520	Cre03.g205050
kfl00016_0190	13.0445505	2.8690415	AT5G64440	Cre02.g103350
kfl00016_0490	22.6010675	5.634165	AT1G27480	Cre12.g559555
kfl00017_0030	296.9753875	54.056177	NA	NA
kfl00017_0380	47.8979665	20.8826065	AT3G26760	Cre07.g315750
kfl00018_0170	10.4914355	3.9379695	AT4G24530	NA
kfl00018_0500	15.659361	5.700995	AT1G15520	Cre16.g655450
kfl00018_g12	107.3839075	35.891983	NA	NA
kfl00019_0020	23.982767	6.909477	AT3G60150	Cre12.g496800
kfl00019_0100	2.8334415	0.2968895	AT5G47820	Cre12.g522550
kfl00019_0190	8.756193	2.984583	AT2G24830	Cre07.g355700
kfl00020_0080	85.356636	14.197922	NA	NA
kfl00020_0670	27.9773105	7.0047495	NA	NA
kfl00021_0400	6.5817365	0	AT5G50375	Cre16.g657300
kfl00022_0300	10.097276	3.415892	AT3G12940	Cre16.g675861
kfl00022_0420	13.1308125	0	AT4G12830	Cre03.g195200
kfl00023_0070	54.6233025	6.719602	AT3G47470	Cre10.g452050
kfl00023_0440	221.035858	66.631344	NA	NA
kfl00023_0460	271.802521	61.8043575	AT2G30620	Cre13.g562300
kfl00024_0150	36.496746	13.922406	AT4G29330	Cre12.g523500
kfl00024_0260	184.0337905	52.072771	AT3G08610	NA
kfl00025_0130	22.947829	4.8525475	AT5G45370	NA
kfl00025_0170	14.914365	5.155462	AT5G48790	Cre04.g212500
