kfl00001_0060	AT5G08060
kfl00001_0070	AT3G26560
kfl00001_0090	AT2G01620
kfl00001_0110	AT2G24820
kfl00001_0120	AT2G21430
kfl00001_0130	AT4G05110
kfl00001_0140	AT4G05120
kfl00001_0150	AT1G14520
kfl00001_0160	AT3G61600
kfl00001_0170	AT5G04520
kfl00001_0190	AT5G52120
kfl00001_0200	AT4G14500
kfl00001_0210	AT4G03560
kfl00001_0220	AT5G43050
kfl00001_0230	AT3G14910
kfl00001_0240	AT2G26820
kfl00001_0250	AT5G02820
kfl00001_0260	AT1G60550
kfl00001_0270	AT2G42700
kfl00001_0280	AT1G79830
kfl00001_0290	AT5G01100
kfl00001_0300	AT2G34660
kfl00001_0320	AT2G28900
kfl00001_0340	AT1G14270
kfl00001_0360	AT2G21710
kfl00001_0370	AT2G22570
kfl00001_0390	AT5G64160
kfl00001_0410	AT2G36360
kfl00001_0420	AT1G72480
kfl00001_0440	AT1G79870
kfl00001_0450	AT4G29830
kfl00001_0460	AT1G29760
kfl00001_0470	AT1G72330
kfl00001_0480	AT1G48410
kfl00001_0490	AT2G23890
kfl00001_0500	AT3G07020
kfl00001_0520	AT5G07890
kfl00001_0530	AT4G08350
kfl00001_0540	AT1G54970
kfl00001_0550	AT5G66450
kfl00001_0580	AT5G66055
kfl00001_0590	AT5G66420
kfl00001_0610	AT4G17740
kfl00001_0620	AT4G09800
kfl00001_0640	AT5G08470
kfl00001_0650	AT5G39600
kfl00001_0660	AT4G34910
kfl00001_0670	AT5G58870
kfl00001_0680	AT2G46260
kfl00001_0690	AT5G62410
kfl00001_0710	AT1G54560
kfl00001_0720	AT4G30580
kfl00001_0730	AT2G42240
kfl00001_0740	AT1G21720
kfl00001_0750	AT4G11175
kfl00001_0770	AT3G44380
kfl00001_0780	AT1G22940
kfl00001_0785	AT5G32470
kfl00001_0790	AT4G11440
kfl00001_0800	AT5G11500
kfl00001_0820	AT3G17840
kfl00001_0830	AT1G26220
kfl00001_0840	AT4G16130
kfl00001_0850	AT1G78600
kfl00001_0860	AT3G22425
kfl00002_0010	AT5G26980
kfl00002_0020	AT4G21990
kfl00002_0030	AT1G26355
kfl00002_0040	AT3G59390
kfl00002_0050	AT1G53240
kfl00002_0060	AT2G32950
kfl00002_0070	AT5G35330
kfl00002_0080	AT5G28750
kfl00002_0100	AT3G27080
kfl00002_0110	AT2G26060
kfl00002_0120	AT4G08850
kfl00002_0130	AT3G15410
kfl00002_0140	AT4G35780
kfl00002_0150	AT5G23450
kfl00002_0160	AT1G53590
kfl00002_0170	AT2G26920
kfl00002_0180	AT4G14790
kfl00002_0200	AT2G18390
kfl00002_0210	AT2G43750
kfl00002_0220	AT1G07615
kfl00002_0240	AT1G17280
kfl00002_0250	AT5G61030
kfl00002_0270	AT2G43770
kfl00002_0280	AT3G24430
kfl00002_0300	AT4G20410
kfl00002_0310	AT2G30910
kfl00002_0320	AT2G17010
kfl00002_0330	AT4G33360
kfl00002_0340	AT1G10510
kfl00002_0350	AT5G14950
kfl00002_0370	AT1G67090
kfl00002_0380	AT1G12930
kfl00002_0390	AT3G06100
kfl00002_0420	AT3G05530
