kfl00001_0330 Cre13.g591350
kfl00001_0490 Cre13.g573150
kfl00001_0690 Cre02.g086650
kfl00001_0850 Cre06.g278200
kfl00002_0480 Cre06.g278202
kfl00002_0670 Cre06.g263850
kfl00003_0130 Cre04.g216350
kfl00003_0340 Cre12.g543350
kfl00003_0640 Cre10.g422150
kfl00003_0760 Cre03.g184651
kfl00004_0210 Cre01.g043100
kfl00004_0250 Cre12.g558700
kfl00004_0420 Cre16.g684043
kfl00005_0020 Cre17.g701300
kfl00005_0040 Cre03.g174750
kfl00006_0430 Cre10.g462200
kfl00006_0460 Cre06.g292500
kfl00007_0630 Cre14.g619900
kfl00008_0180 Cre13.g569850
kfl00009_0310 Cre09.g390750
kfl00009_0420 Cre12.g514750
kfl00009_0660 Cre08.g384700
kfl00010_0300 Cre14.g614151
kfl00011_0150 Cre14.g627350
kfl00012_0110 Cre12.g524650
kfl00012_0280 Cre10.g426000
kfl00012_0630 Cre02.g120150
kfl00013_0090 Cre03.g176500
kfl00013_0160 Cre11.g467567
kfl00013_0360 Cre06.g270500
kfl00014_0140 Cre03.g155051
kfl00014_0330 Cre06.g278202
kfl00016_0010 Cre03.g205050
kfl00016_0190 Cre02.g103350
kfl00016_0490 Cre12.g559555
kfl00017_0380 Cre07.g315750
kfl00018_0500 Cre16.g655450
kfl00019_0020 Cre12.g496800
kfl00019_0100 Cre12.g522550
kfl00019_0190 Cre07.g355700
kfl00021_0400 Cre16.g657300
kfl00022_0300 Cre16.g675861
kfl00022_0420 Cre03.g195200
kfl00023_0070 Cre10.g452050
kfl00023_0460 Cre13.g562300
kfl00024_0150 Cre12.g523500
kfl00025_0170 Cre04.g212500
kfl00025_0370 Cre03.g189605
kfl00025_0490 Cre01.g034050
kfl00026_0260 Cre08.g380400
kfl00026_0310 Cre12.g561350
kfl00027_0050 Cre12.g510650
kfl00027_g54 Cre03.g164101
kfl00028_0270 Cre11.g467745
kfl00028_0380 Cre12.g505300
kfl00028_0470 Cre04.g218100
kfl00029_0180 Cre16.g665800
kfl00029_0270 Cre03.g178650
kfl00030_0180 Cre06.g251400
kfl00030_0320 Cre01.g049350
kfl00031_0110 Cre17.g724550
kfl00031_0500 Cre16.g656950
kfl00032_0080 Cre03.g159750
